Country,2000-2002,2003-2005,2006-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Croatia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bosnia and Herzegovina,52.98,50.2,46.78,45.2,43.45,42.0,41.42,41.05,41.45,41.0
"Bolivia, Plurinational State of",64.27,67.53,71.53,75.1,77.9,80.55,82.92,85.1,87.0,88.7
Niger,0.87,0.9,1.07,1.2,1.45,1.85,2.4,3.1,4.0,5.3
Honduras,31.87,36.17,39.82,42.25,43.75,44.75,46.2,47.25,48.5,49.75
Kyrgyzstan,54.07,60.13,66.2,70.8,73.5,75.55,76.75,77.25,77.2,77.15
Palau,53.03,51.87,49.75,47.08,44.7,42.08,39.55,35.65,33.3,30.32
Ethiopia,0.9,1.07,1.43,2.05,2.8,3.6,4.6,5.7,7.0,8.4
El Salvador,60.53,66.12,71.33,76.1,79.5,82.95,86.15,89.0,91.4,93.35
Ireland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nauru,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Paraguay,48.9,49.07,51.63,55.95,60.2,63.6,65.95,67.45,68.2,68.55
Turkmenistan,99.4,99.67,99.83,99.9,99.9,99.9,99.9,99.9,99.9,99.85
Latvia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Czechia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tonga,35.93,44.47,52.3,58.35,63.5,68.25,74.0,79.4,84.55,88.55
Nepal,6.7,11.4,16.5,20.55,23.85,27.25,30.5,33.55,36.2,39.0
Seychelles,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Monaco,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Iceland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Papua New Guinea,5.5,5.88,6.53,7.5,8.15,8.7,9.0,9.4,9.55,9.9
Cambodia,4.07,6.03,8.43,10.95,13.7,17.15,22.05,29.05,38.5,50.35
Brazil,89.68,91.2,92.57,93.65,94.5,95.25,95.75,96.15,96.4,96.5
United States,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Pakistan,24.57,28.07,31.53,34.65,37.22,39.75,42.65,45.4,48.6,51.8
Djibouti,3.93,4.5,5.33,6.15,7.2,8.05,8.93,9.7,10.15,10.4
Tajikistan,40.05,51.87,62.33,68.65,72.45,75.6,78.45,81.15,83.7,85.65
Slovakia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
