Country,1990-1996,1997-2003,2004-2010,2011-2016,2017-2022
South Sudan,,,1.0,2.37,4.27
Mozambique,,1.0,1.7,2.87,5.17
Togo,,5.36,10.54,18.52,23.95
Gabon,,18.68,24.47,27.38,24.92
Andorra,100.0,100.0,100.0,100.0,100.0
Burkina Faso,1.75,2.01,1.61,2.28,3.4
Belarus,100.0,88.91,85.07,91.47,99.13
Bhutan,,17.75,49.43,86.22,99.45
Kuwait,100.0,100.0,100.0,100.0,100.0
Lesotho,,2.0,5.17,15.23,32.68
Suriname,,92.12,86.56,88.25,95.67
Tuvalu,,93.72,94.59,95.53,98.42
Mongolia,,35.12,46.07,54.37,95.28
"Virgin Islands, U.S.",100.0,100.0,100.0,100.0,100.0
Papua New Guinea,2.59,5.0,7.7,9.57,13.62
