Country,1999-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017
Sierra Leone,,,,,,,95.6,97.88,
Georgia,,,,,98.23,98.14,98.35,98.88,98.27
China,,,,,,,,,
Lithuania,,98.46,,,,,,,
Mozambique,51.22,52.93,68.68,78.0,84.82,85.9,85.83,88.05,88.48
Senegal,52.92,62.94,63.28,69.12,72.47,74.59,78.31,78.83,79.01
Uzbekistan,,,,92.07,91.76,91.46,94.13,96.15,
"Bolivia, Plurinational State of",,,,,97.4,93.35,88.11,87.97,90.47
Algeria,89.48,92.93,94.17,94.74,96.48,,,,
Guinea-Bissau,40.71,,,,,70.82,,,
Lao People's Democratic Republic,71.86,74.28,77.48,80.99,86.53,92.71,93.86,94.71,92.33
Chad,40.39,46.32,,,,54.05,67.41,69.34,64.3
Zambia,65.79,68.88,86.82,90.92,89.8,88.66,90.62,,87.03
United Arab Emirates,,,,94.29,,,94.54,,
Honduras,86.34,90.91,89.76,88.1,87.87,88.42,83.01,79.85,81.12
Chile,,,,95.17,94.98,95.15,94.12,93.48,94.44
Spain,,,,,,,,,98.46
Brazil,,,93.51,93.71,97.53,95.4,98.56,97.33,
Montenegro,,98.17,98.78,97.83,96.59,,97.8,95.35,94.85
Australia,95.91,96.59,96.83,,,98.1,98.36,,96.88
