Country,1981-1984,1985-1988,1989-1992,1993-1996,1997-2000,2001-2004,2005-2008,2009-2012,2013-2015,2016-2018,2019-2021
Estonia,,,,,,7.51,6.43,0.33,3.62,5.11,4.12
Austria,1.23,2.68,3.31,1.67,2.6,1.69,2.73,-0.5,0.39,2.07,-0.49
Bosnia and Herzegovina,,,,,,5.36,5.38,-2.67,2.91,4.63,3.28
Honduras,0.01,6.16,0.43,5.43,4.8,2.5,4.61,2.35,4.55,3.14,2.56
Afghanistan,,,,,,,,,,,-20.67
Finland,2.96,4.3,-3.7,5.18,6.05,2.26,1.93,-1.56,0.8,2.27,1.2
"Korea, Republic of",9.65,11.24,8.13,7.34,2.94,5.0,2.77,3.24,4.19,2.93,0.37
Angola,,,,,,10.27,0.63,15.95,4.32,-2.9,2.99
Sweden,1.49,3.13,-0.51,2.2,3.76,2.07,3.29,0.46,2.45,2.16,2.05
Togo,2.87,5.28,2.16,4.09,4.31,2.25,0.63,4.14,12.65,18.77,3.17
Lesotho,17.74,,,,,,4.11,-3.02,5.69,-1.32,0.94
Belgium,0.31,4.22,2.74,1.66,2.66,1.14,1.33,0.48,1.68,1.31,0.65
Central African Republic,,,,,,,,-1.04,-13.2,11.4,-0.48
Mauritius,,,,,,,2.36,0.16,4.87,4.51,-3.79
Greece,,,,,,,0.27,-6.56,0.37,0.62,0.55
Bahrain,,,,,,4.14,13.92,4.75,3.91,2.62,-3.34
New Zealand,2.11,3.81,-1.17,5.0,3.08,5.57,1.14,3.38,4.68,4.09,2.63
Czechia,,,,4.46,0.81,3.84,4.24,-1.24,3.42,4.43,0.49
Georgia,,,,,,,,7.22,4.43,5.18,2.57
Jamaica,,,,,,,-4.65,-0.31,0.68,1.99,1.69
Qatar,,,,,,,,,,5.98,-7.83
Ukraine,,,,-11.86,1.41,10.7,10.15,0.84,-4.22,3.66,3.89
India,3.15,5.55,4.34,8.23,4.62,6.16,6.95,7.62,7.25,7.39,2.13
