Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2021
Pakistan,11.47,8.55,6.94,8.51,11.07,8.1,6.34,7.91,9.74,6.66,8.69
Solomon Islands,-37.15,-20.42,-8.72,-12.15,7.09,6.42,12.68,15.04,11.36,15.07,18.7
Bahamas,15.55,17.81,28.1,29.18,29.15,25.1,21.05,16.98,16.42,13.83,6.84
Tajikistan,,,,,-6.01,10.0,5.37,-3.65,17.25,20.47,16.98
Luxembourg,,,,26.28,24.48,32.11,15.75,18.37,17.36,14.81,17.82
Benin,-4.47,-6.32,-7.3,-3.6,0.81,2.35,1.58,5.66,8.72,10.41,11.67
Aruba,,24.19,18.4,14.66,8.17,-3.52,4.16,-2.7,6.86,6.66,2.19
Poland,,7.18,8.66,5.86,3.28,6.53,7.16,7.76,9.41,10.07,11.11
Kuwait,-46.54,20.67,21.54,23.47,21.37,40.57,32.36,35.22,16.3,15.88,
Saudi Arabia,-3.26,1.05,3.29,12.25,18.55,29.31,27.08,29.2,13.43,18.92,11.22
Sweden,12.48,12.45,16.92,17.28,17.35,20.31,17.86,17.22,17.34,18.68,19.71
Zambia,,,,,,,8.3,14.83,17.45,22.51,15.7
Kazakhstan,,-13.01,-9.8,-17.13,-8.98,-3.45,5.32,9.63,9.41,6.58,4.05
Suriname,,,,,,32.28,29.96,,,,
Colombia,8.96,8.18,2.25,-0.44,2.59,5.25,5.59,3.29,5.25,4.86,3.38
Brazil,8.77,8.84,5.35,1.02,3.57,6.44,4.54,0.89,-3.65,-4.28,-0.7
Paraguay,,13.18,13.29,9.74,17.9,17.2,15.98,17.25,18.56,18.55,17.57
