Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017,2018-2019,2020-2021
Barbados,213670048.39,194934931.34,161077939.99,115421044.36,129491289.23,103509704.66,8230183.22,-149031674.75,-72591923.4,-181582499.94,,
Albania,-249636594.53,-51669292.63,82474200.59,493955663.58,1018169570.45,1614298276.35,881929450.59,631508744.79,50663640.4,102849894.19,-109332159.01,83034319.69
Russian Federation,,-96641559563.29,-59709195815.1,-141593941.11,13926261865.52,111087114366.9,120052974558.42,215558220164.87,125201000203.7,98848395416.12,132542659316.53,116916393282.43
Egypt,6009632183.4,6004446525.4,5985475624.4,8065930194.45,5862073622.44,7263318242.22,10989562815.74,6753405789.12,7194544891.3,4409919383.03,11434302197.46,4426978020.57
Latvia,,-1337339422.96,-1122331548.44,-696008535.36,-19638940.99,478392885.56,1509669632.71,636458308.79,586031247.87,1000547928.06,1344818757.55,1483634454.65
Dominican Republic,738565214.15,1749936123.32,3704167113.01,4873015615.32,4376482891.28,6670156015.73,7516681980.12,8199739090.47,11324555639.14,13536797153.73,16446078157.75,16197651438.76
Sri Lanka,1806623487.72,2319031409.5,2705296958.08,2820115174.01,3140618789.67,5061385234.98,6434014632.26,,21855070781.36,27250708863.11,24483672694.21,21034526747.5
Tunisia,1205849570.34,573993520.91,1504132324.17,1753053419.21,1985089315.29,2097229389.51,2018304441.17,-317086480.39,1244730897.1,-10418907.3,492524824.76,-1150079925.36
Singapore,14604031273.69,26676726343.53,36893785029.59,28458836140.41,24907524286.38,53132282349.59,70819756569.82,103757725749.93,102204351291.69,104874183577.77,98098544194.6,94158761468.52
Sudan,,,,,,,,3225515919.95,21138740913.38,31356973672.29,7046740961.49,878704650.97
Mauritius,713383245.84,720194288.39,744602013.27,808708341.21,1019339307.94,998865784.29,538166536.27,-38326148.82,-57396632.83,296700072.07,392116785.63,-189972280.19
Algeria,6427521486.86,,,,,33604244056.06,46348529427.8,56232791761.46,41817063671.84,36022001230.85,33090439480.53,22156919625.03
France,147589280756.19,152350692919.2,187347424160.11,186728963181.91,205407204703.48,270934149834.64,249104648599.05,232314373522.91,225266264751.74,226799649046.49,265149814865.89,219719613935.04
Panama,801054321.01,1625317792.41,2076028547.85,1886225037.13,1608829019.45,3032139711.07,5926919441.97,10275205884.61,13360583407.17,15649379661.52,14965710379.86,10573581959.63
Myanmar,,,,,,,2416192198.47,14345998851.68,13233868386.23,8925355918.05,12219581957.45,
Saudi Arabia,-4959790292.75,776162032.08,4453237561.98,21148063246.97,41111248387.05,109646167441.96,135838983207.93,209896824088.98,103445854655.34,91276679712.67,166180155751.64,78194320550.86
Indonesia,10133200315.26,32078240959.37,28127002209.09,5965478252.24,-8647678279.42,-13205838.24,46260326185.02,94766312116.18,91660847555.81,121306202642.74,109066082284.76,106993553010.71
Japan,,,598341280855.21,451956895753.35,366531628158.96,406763145031.11,207869583455.65,188070420232.72,227311827498.09,363338814603.6,354930469992.21,214707547421.53
Cameroon,-411319301.89,95576578.72,-54644471.67,-208785631.21,-4085171.47,165024799.3,-774539502.6,-1538439005.75,-916146598.26,-139925962.62,-507947675.61,-701874661.55
Germany,218901190789.14,225106556992.2,224579019318.98,181795740894.21,224607248800.7,394776851722.71,411910080467.27,475689028081.21,498014987888.42,522134983696.01,604288712416.46,584163261743.12
Oman,-2563614999.4,-3041803753.72,-2786501957.58,-2168166603.39,-1307925361.77,150961288.99,876310513.82,-2328776003.34,-5654157383.31,-6398019517.32,465010807.89,-7350292462.58
Armenia,,-271052108.03,-254911030.74,-286556207.02,9782876.96,1031177035.42,742470133.72,68902135.28,283672257.73,423444019.96,-123530302.66,218965237.5
India,21336366482.45,37221383427.4,54568947313.75,61324172044.74,106373388948.91,221147770805.49,307823244080.44,378760398031.79,401061612824.91,461033389087.38,482239784217.15,430939778714.8
"Bolivia, Plurinational State of",-71896230.09,98992893.5,462141217.85,185263128.16,437875301.41,1207125337.49,2848864313.69,3180055677.47,2158041264.34,2234761848.57,1688944637.79,37910861.42
Syrian Arab Republic,,,,7726489687.2,11160730379.54,16247745822.1,15366499094.16,,,,,
