Country,1970-1975,1976-1981,1982-1986,1987-1991,1992-1996,1997-2001,2002-2006,2007-2011,2012-2016,2017-2021
Grenada,,4739594.5,7529773.61,13391165.83,17309138.8,22073136.12,22107312.76,27653295.0,31919407.78,38860287.78
American Samoa,8636280.64,11848914.32,20140214.16,,,,,,,
Eswatini,4653277.66,,,47907019.72,71372009.13,84848977.56,164097617.87,302419345.87,311884772.05,288322560.27
Syrian Arab Republic,,,,,,1983136760.08,2806102291.96,4595000836.83,574250196.92,444911402.96
New Caledonia,61416359.31,106564928.24,24932473.05,9961577.81,17144335.11,16426207.09,,,,
Austria,966535557.18,2787072645.91,3736620123.97,6985474136.2,10441473553.95,11422785934.87,14761687619.38,21720776168.18,21414444208.98,21891073696.75
Sweden,3198276851.27,6579114979.17,6658126140.34,11567832284.24,17350867859.71,18530856305.54,23259535483.08,31002647520.96,39459190685.95,40950336708.17
Nigeria,365755413.68,2426812058.53,3748078312.86,852463722.03,327110545.14,499744132.94,1203814113.45,2736208637.3,4023958638.49,3468505268.02
Denmark,1446783743.39,3204766592.14,3887788176.25,7256221549.04,11869575869.04,12949707057.59,18236302167.17,25724981400.53,23323961766.17,23558991897.85
Zambia,93659563.49,134580074.74,126970496.61,77256693.55,64991627.38,75362444.58,133742238.8,318798133.25,815542801.07,793765779.19
Malaysia,312984265.05,897408270.49,1558355010.68,1732757061.34,3077994878.19,3548074790.94,5853200140.97,10664568605.74,15776490574.05,13942836200.74
Lao People's Democratic Republic,,,35403908.77,15458144.48,29552168.91,19815851.94,28496087.69,80809992.29,311140795.79,453257324.18
France,7870292783.85,21920673169.94,27645780336.82,48157007327.32,75056278868.86,73912777231.91,100911623856.98,140723732483.18,134159210442.2,135643490958.46
Jordan,25835953.47,114653243.55,210966858.84,228213902.41,342917737.2,378080361.37,471467234.3,881014144.64,1189804773.76,1219713333.66
Cameroon,48290648.73,122578219.79,197806103.96,309302149.76,276032485.67,216725698.39,468745645.01,761873181.23,878148541.25,1059643460.65
"Bolivia, Plurinational State of",,136802835.06,144949237.63,135206980.0,264615459.43,400005824.21,511792132.93,1168729833.16,1830759031.81,2326838363.97
"Moldova, Republic of",,,,,163149859.57,90304009.23,160805436.94,498039039.45,527860159.1,630059173.73
Argentina,818147023.83,1131536753.75,1363694494.65,1732077080.06,8781304698.97,11688595080.15,5564491605.12,16971492477.52,28096887566.52,23995877087.21
