Country,1977-1984,1985-1992,1993-2000,2001-2007,2008-2014,2015-2021
New Zealand,,,20.97,20.73,18.82,20.84
Peru,24.23,16.85,17.3,20.42,23.8,21.28
Morocco,21.32,27.82,25.38,32.83,28.87,28.42
Kiribati,45.86,46.31,,3.42,12.79,32.87
Fiji,20.8,13.91,24.0,25.2,15.92,19.79
Tonga,27.66,18.9,16.85,15.53,13.47,16.83
Bhutan,,,,39.61,37.15,24.99
North Macedonia,,,10.42,16.56,24.74,31.51
Belgium,,,,26.88,24.52,24.96
South Africa,26.44,18.22,15.64,17.65,15.79,14.6
Zimbabwe,0.11,-1.82,-3.76,,-5.8,5.24
Brazil,17.94,22.37,15.65,17.67,18.13,14.42
Jamaica,13.77,21.35,23.94,18.15,11.56,24.63
Poland,,,20.49,16.77,17.23,20.14
Mauritius,16.52,27.37,26.37,24.1,14.4,10.08
Sweden,21.37,23.43,23.08,28.35,27.9,28.59
Haiti,,8.66,16.24,9.91,14.94,15.04
