Country,1970-1974,1975-1979,1980-1984,1985-1989,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2017,2018-2021
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.88,0.31,0.19,0.05,0.11,0.07,0.01,0.01,0.01,0.01,0.02,0.02
Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Moldova, Republic of",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russian Federation,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,,,1.53,0.44,0.99,1.09,0.53,0.42,0.4,0.57,0.68,0.45
Yemen,,,,,0.04,0.06,0.04,0.03,0.03,0.04,0.06,0.06
Cyprus,,0.16,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bolivia, Plurinational State of",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,,,,,,0.03,0.02,0.02,0.14,0.32,0.23,0.27
Uruguay,0.31,0.6,0.51,0.39,0.54,0.4,0.21,0.0,0.0,0.0,0.0,0.0
Turkmenistan,,,,,,,0.0,0.0,0.0,0.0,,0.0
Viet Nam,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
