Country,1960-1965,1966-1971,1972-1977,1978-1983,1984-1989,1990-1995,1996-2001,2002-2007,2008-2012,2013-2017,2018-2022
Denmark,43.86,42.19,25.48,14.83,10.02,9.67,8.47,5.8,5.09,3.61,2.05
Dominican Republic,150.53,132.04,120.84,110.22,106.46,116.04,111.61,105.67,106.95,94.49,71.89
Latvia,20.54,25.77,29.29,40.74,45.14,43.94,20.61,20.28,20.12,16.85,11.56
"Moldova, Republic of",30.29,26.05,34.39,39.18,46.71,63.7,49.6,33.21,30.91,34.1,28.62
Qatar,195.94,184.89,135.94,81.29,57.69,41.25,21.22,17.52,16.25,10.73,7.45
Montenegro,36.38,33.6,30.3,24.92,29.86,25.58,21.75,17.86,17.24,11.38,10.34
French Polynesia,104.21,101.07,99.85,89.28,73.75,56.31,46.95,42.84,41.96,38.55,33.47
Saint Kitts and Nevis,179.12,142.05,153.7,125.51,91.7,72.32,70.18,57.11,46.33,41.69,39.05
Cyprus,25.51,22.9,24.19,35.31,34.01,27.68,11.2,7.36,6.1,5.75,6.93
Guatemala,160.07,145.11,140.75,135.38,114.99,111.03,110.26,96.37,90.18,80.34,68.41
Finland,27.43,33.9,26.36,17.94,13.31,10.7,9.8,10.0,8.11,6.27,4.15
Tajikistan,43.13,41.87,40.63,37.18,37.98,55.96,54.26,38.48,47.84,48.92,45.52
Yemen,145.08,141.14,156.17,173.28,161.66,150.81,115.62,98.7,78.05,64.63,55.96
Costa Rica,117.58,103.44,99.46,99.23,97.57,90.85,83.49,68.19,66.63,56.67,41.39
India,149.2,153.74,151.59,145.32,136.17,124.99,106.86,67.07,40.1,26.3,17.56
Vanuatu,94.27,91.41,87.82,88.6,88.22,79.87,73.14,71.61,70.79,70.82,64.9
Switzerland,21.81,25.1,16.16,9.6,7.16,7.11,5.85,5.13,3.99,2.91,2.24
Russian Federation,23.44,27.1,34.88,46.75,48.72,50.1,31.96,29.44,31.08,24.22,15.1
Equatorial Guinea,159.03,165.75,171.46,177.54,183.56,184.86,180.74,176.4,171.63,161.23,144.31
Madagascar,165.43,178.17,178.72,150.47,129.51,138.55,145.58,142.57,139.48,130.76,121.48
Italy,20.85,26.81,29.92,19.51,11.33,8.19,6.86,6.99,6.85,5.23,3.96
Turks and Caicos Islands,101.55,95.59,91.63,84.34,70.13,52.38,32.87,28.16,21.29,19.59,17.17
Japan,3.64,4.51,4.21,3.64,3.69,3.89,4.84,5.44,4.66,3.96,2.88
Afghanistan,139.22,142.13,142.23,135.73,136.08,149.72,153.91,135.9,119.47,97.95,84.37
Georgia,26.95,30.93,35.85,46.8,53.61,71.7,55.72,43.77,54.11,47.1,31.21
