Country,1960-1972,1973-1985,1986-1998,1999-2011,2012-2023
Rwanda,6.25,5.02,4.44,5.29,5.42
Gambia,5.0,6.64,7.44,6.32,4.82
Fiji,4.71,4.52,4.81,5.81,7.93
Latvia,16.98,18.79,19.19,25.32,32.22
Macao,8.98,10.01,10.06,9.5,13.78
Chile,6.37,7.42,9.96,13.25,17.05
Solomon Islands,6.41,6.77,6.13,6.18,6.11
Belgium,20.23,21.54,23.03,25.93,29.09
Portugal,14.31,17.85,21.44,26.1,33.08
Ecuador,8.11,6.89,7.23,8.67,10.89
Armenia,9.3,8.68,10.05,15.32,17.05
Montenegro,12.03,12.79,13.59,18.19,22.55
Belarus,12.81,15.07,17.27,20.97,23.35
Romania,11.94,15.7,16.76,21.27,26.48
Ethiopia,5.19,5.48,5.29,5.3,5.46
Bermuda,9.2,11.31,12.93,16.98,26.2
Croatia,13.33,16.89,18.78,25.42,31.44
Viet Nam,10.14,10.1,9.97,9.66,11.26
Libya,7.83,5.77,5.18,5.91,7.3
Sri Lanka,7.66,8.17,10.06,10.97,15.04
Greece,15.33,20.24,21.72,27.02,33.54
Slovenia,13.7,16.3,16.58,21.67,28.85
San Marino,14.59,16.1,20.18,23.92,28.44
Iraq,7.56,9.07,7.02,5.71,5.63
South Sudan,4.95,4.73,4.86,4.77,5.07
Faroe Islands,14.12,16.14,20.0,21.83,27.83
Greenland,4.36,5.19,5.95,8.45,12.18
Gabon,13.01,12.48,10.5,7.98,6.59
