Country,1961-1966,1967-1971,1972-1976,1977-1981,1982-1986,1987-1991,1992-1996,1997-2001,2002-2006,2007-2011,2012-2016,2017-2021
Albania,12340.0,12298.0,11194.0,11148.0,11120.0,11172.0,11274.0,11404.0,11160.0,11807.2,11837.78,11648.49
Iraq,88791.67,89894.0,92360.0,93982.0,94590.0,94200.0,93940.0,85600.0,87800.0,83900.0,90558.5,93820.0
Indonesia,385416.67,384100.0,382504.0,380084.0,387746.0,437328.0,422568.0,458266.0,516730.0,552100.0,576420.0,640400.0
Central African Republic,47636.67,48200.0,48740.0,49300.0,49518.0,49562.0,49560.0,49508.0,49454.0,49196.0,48974.0,49088.0
Botswana,260003.33,260010.0,260020.0,260032.0,260068.0,259914.0,259380.0,258650.0,258174.0,258740.0,258992.4,258618.4
Sudan,1090906.67,1096464.0,1101198.0,1104398.0,1120450.0,1214770.0,1278092.0,1313908.0,1345828.0,1370142.4,1116337.92,1126037.36
France,342148.33,330196.0,323590.0,318228.0,315112.0,308003.2,302254.0,298938.8,294613.6,290282.0,287659.84,286172.59
Trinidad and Tobago,976.67,986.0,1068.0,1028.0,756.0,746.0,790.0,662.0,566.0,540.0,540.0,540.0
Croatia,24040.0,24040.0,24040.0,24040.0,24040.0,24040.0,22510.0,16736.0,11988.0,12901.2,14980.0,14932.0
Fiji,2260.0,2206.0,2420.0,2850.0,3310.0,3948.0,4066.0,3776.0,3486.0,3227.8,3163.0,3127.4
Panama,16460.0,16864.0,17848.0,18576.0,19672.0,20946.0,21398.0,21832.8,22320.0,22443.98,22330.0,21868.83
Austria,34871.5,33481.6,32219.2,31595.4,30532.2,30375.4,29921.0,29472.0,28709.86,27942.0,27108.84,26317.57
Slovenia,5640.0,5640.0,5640.0,5640.0,5640.0,5640.0,5472.0,5026.0,5014.0,5972.3,6141.62,6121.54
Ireland,46516.17,48039.6,48411.4,49005.8,48787.2,46552.8,43895.2,43829.2,43220.0,45243.84,44734.0,44756.0
Syrian Arab Republic,146225.0,134826.0,142952.0,140372.0,139896.0,136278.0,137240.0,137518.0,138364.0,139052.0,139188.25,139151.61
Algeria,445631.67,444612.0,443620.0,428992.0,391476.0,387308.0,393304.0,398754.0,406595.4,413406.0,414154.85,413244.41
Turks and Caicos Islands,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Saint Kitts and Nevis,200.0,176.0,150.0,150.0,132.0,120.0,106.0,93.6,68.48,54.78,60.0,60.0
Sweden,39965.0,37524.0,37296.0,37080.0,35754.0,34162.0,33240.0,31424.0,31546.2,30801.4,30305.84,30049.98
Lao People's Democratic Republic,14933.33,14722.0,15494.0,16016.0,16280.0,16528.0,16838.0,17882.0,19486.0,21663.0,23294.5,21220.8
Lesotho,25786.67,24770.0,23624.0,22984.0,22958.0,23244.0,23298.0,23310.0,23112.0,23336.0,22785.4,24300.6
Malta,156.67,140.0,136.0,136.0,130.0,130.0,122.0,94.0,98.0,97.12,102.74,98.0
Germany,194488.33,191852.0,188434.0,185884.0,182924.0,178892.0,172202.0,171908.0,169916.0,168352.0,166952.0,166368.0
Türkiye,371011.67,380072.0,383612.0,384316.0,376270.0,396662.0,397646.0,401820.0,409532.0,389594.0,384526.0,378666.0
Paraguay,106650.0,111740.0,117252.0,126952.0,134550.0,140353.42,145201.4,149787.4,154587.4,159415.4,166779.4,167915.4
Azerbaijan,44462.0,44462.0,44462.0,44462.0,44462.0,44462.0,44808.2,46898.4,47538.0,47612.0,47701.2,47794.8
Niger,315000.0,316566.0,302662.0,301036.0,308420.0,321738.0,354000.0,368000.0,401676.0,439620.0,456472.0,465950.0
Guinea-Bissau,4896.7,4996.7,5066.7,5138.7,5554.7,5606.26,6095.17,6546.75,6969.0,7391.25,7813.45,8134.22
