Country,1975-1979,1980-1983,1984-1987,1988-1991,1992-1995,1996-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
Guatemala,26.57,25.07,25.77,25.78,24.7,23.57,16.16,12.19,11.42,10.28,9.55,9.45
Cuba,12.13,12.14,12.15,12.84,9.2,6.64,6.17,4.29,3.74,3.89,3.77,1.48
Ireland,,,,,5.58,3.66,1.93,1.14,0.89,1.05,0.98,0.98
Slovakia,,,,,2.25,2.03,1.92,1.86,2.02,2.27,2.05,1.84
"Venezuela, Bolivarian Republic of",5.46,5.64,5.72,5.7,5.06,4.47,4.08,3.72,5.05,4.98,,
Georgia,,22.52,23.98,25.17,52.35,27.91,20.03,12.89,8.71,8.88,7.45,7.05
Gambia,30.06,31.35,28.44,23.96,18.78,20.44,25.21,28.19,30.98,24.57,20.68,23.46
Kazakhstan,,,,,16.76,10.5,8.17,6.16,5.24,4.46,4.48,4.99
Hungary,,,,,7.18,6.23,4.5,3.77,3.38,3.88,3.62,3.66
Sudan,34.53,32.15,31.55,38.99,37.56,43.77,38.14,33.67,32.35,31.89,21.59,9.33
Belarus,,,,22.58,17.33,13.32,10.3,8.56,8.42,7.13,6.96,7.27
Algeria,,,,,,11.11,8.54,6.74,7.04,9.27,11.21,11.96
Peru,15.64,,,7.86,8.14,8.3,7.7,6.77,7.12,6.81,6.86,7.33
Costa Rica,20.3,21.83,19.76,15.73,12.2,12.08,8.72,8.45,6.53,4.89,4.58,4.16
Nepal,62.85,57.1,50.7,47.25,40.51,38.45,36.19,33.01,31.4,28.17,23.28,21.58
India,34.64,33.16,29.43,27.96,26.23,24.15,20.59,17.25,16.94,16.74,16.43,17.16
Guyana,21.68,19.87,22.96,34.08,39.82,35.76,30.68,31.19,28.84,25.28,20.07,13.45
Philippines,25.47,20.95,21.35,19.37,19.05,16.1,13.46,13.62,14.23,12.21,9.71,9.8
Ecuador,19.08,16.18,19.91,21.45,21.6,18.98,10.34,7.77,8.05,7.35,7.85,7.81
Uruguay,,13.4,13.65,10.4,8.18,6.8,7.19,9.29,8.27,7.15,6.06,6.96
Burundi,56.83,55.45,53.42,48.75,44.48,46.99,43.53,39.58,37.47,34.86,29.49,27.52
Togo,29.79,27.66,33.45,23.88,16.47,20.31,15.07,16.66,20.74,19.59,19.97,18.57
Honduras,30.54,31.49,24.71,24.48,21.41,17.78,12.83,12.1,12.2,12.63,11.74,11.88
Mexico,10.34,6.0,6.55,6.52,4.82,4.05,3.18,3.03,3.05,3.05,3.29,3.84
Vanuatu,21.95,19.22,23.19,18.23,15.71,20.79,23.4,21.95,19.95,22.24,21.42,
Cabo Verde,,14.74,14.03,15.42,12.12,12.18,11.2,8.32,5.64,5.94,5.16,5.34
