Country,1976-1981,1982-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
Mauritania,27118666908.17,33039014401.83,37637902586.17,40504702550.0,33541237966.67,34653574083.33,41627055235.63,52222270936.33
Norway,20885833333.33,21694166666.67,23902333333.33,29943500000.0,30902166666.67,40494166666.67,46393833333.33,49409833333.33
New Zealand,4778749400.0,5917063666.67,7018758333.33,8571433833.33,9644279833.33,9673275666.67,11073613000.0,11896358600.0
Kyrgyzstan,,35041578000.36,38025344202.67,36296794783.33,49285316783.33,53976609966.67,60255293933.33,68071609233.33
Sri Lanka,342895143465.0,426484355609.05,467349235454.94,522262803233.33,558237054933.33,691089517183.33,889898674700.0,938593000000.0
Egypt,222820911645.1,259265104047.46,312048334405.76,370368227900.0,459263568566.67,558372593366.67,669397493233.33,814370613922.84
Sierra Leone,1148951238.17,1582980776.28,2052361088.7,1957202683.33,2267748633.33,3399390566.67,4317208566.67,5325345500.0
Fiji,528940011.13,603061657.02,677870042.36,734039566.67,711798533.33,700087416.67,735415033.33,846757548.74
Myanmar,,,,,11194681261550.0,17057397183833.34,19465824790016.67,18065351927633.33
Nicaragua,13657341870.13,11769012148.84,9986777606.24,13092716233.33,16911709450.0,21461912550.0,23661743633.33,28329107983.33
Eritrea,,,1022107900.0,1263808333.33,1039617866.67,1280031825.0,,
Algeria,,,,951166293297.26,1090495643184.34,1544900990600.45,2415452564423.85,2720115432419.13
Greece,,,,7667369600.0,7607449333.33,6365828833.33,6838630333.33,6972759833.33
Central African Republic,,,,,,347889666666.67,233916333333.33,174509410983.33
Montenegro,,,,,216157650.0,240716000.0,266846166.67,278431833.33
