Country,1991-1993,1994-1996,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2022
United States,,,,,,,,,69445.06,,
Rwanda,350.41,353.01,384.61,480.15,511.62,545.51,623.04,734.54,975.86,1204.13,1146.36
Tajikistan,1084.64,733.65,639.15,774.92,973.86,1106.68,1356.14,1642.79,1834.09,2251.68,2313.35
Algeria,,,5234.18,5244.35,5572.57,7036.7,11604.96,16391.91,20432.83,19308.36,19407.96
Solomon Islands,,,,,2709.88,2902.61,3352.59,3399.58,3614.74,3567.09,3330.67
Central African Republic,,,,,,,752.42,555.24,460.58,161.5,558.48
"Tanzania, United Republic of",490.42,486.96,494.95,521.48,574.32,643.25,705.41,744.62,813.46,859.93,872.15
Panama,4093.58,4839.0,5732.43,6375.07,7218.24,7382.57,5403.4,5388.48,5789.42,6391.38,6380.81
Malta,,,,29390.77,34632.46,39665.03,45941.26,42394.82,41866.42,35465.41,71364.31
Thailand,1745.54,1379.79,1455.08,1706.84,1968.2,2082.52,2258.85,2489.64,2853.71,3051.6,3103.86
Nicaragua,1992.92,2253.22,2278.11,2571.52,2740.71,2997.78,2996.22,2585.84,2643.5,3016.24,3196.27
Mali,835.87,880.32,920.08,884.43,968.76,1015.72,1010.26,1013.13,1244.99,1297.77,1167.57
Croatia,,4930.62,6365.15,7884.98,7665.47,10093.46,8856.15,9561.57,12441.51,16201.37,17883.95
Saint Vincent and the Grenadines,7395.39,6576.49,6858.72,8147.5,8161.23,9115.0,9941.62,9931.42,11168.51,13263.49,9514.91
Hong Kong,,,,35466.37,34522.49,32272.2,25500.32,25625.17,23102.64,22805.47,22583.12
Jamaica,3347.77,4134.85,3989.93,3583.13,3530.75,3672.32,4149.04,4191.84,4331.14,4648.46,5132.91
Colombia,4013.67,4245.63,4313.6,3956.03,3952.78,4424.21,4080.2,4501.07,5008.4,5425.96,6072.33
Senegal,1366.97,1355.98,1338.49,1331.72,1482.05,1571.41,1918.18,1991.51,2352.25,3393.3,3558.3
Dominican Republic,3228.08,3359.85,3720.86,4698.11,5436.07,6102.07,7220.44,8378.9,10102.81,11414.96,13747.53
Lithuania,,3797.02,4163.26,4241.28,4978.11,7583.92,10660.99,11711.4,12394.22,15988.42,19509.04
Estonia,,4171.62,6757.25,10198.04,13173.3,19039.03,21763.32,23142.1,22958.6,26863.47,24269.46
India,978.67,1029.09,1041.79,1061.79,1188.22,1283.9,1366.21,1620.55,1810.57,2057.91,2092.71
Namibia,3407.04,3993.52,4711.24,5435.29,6301.39,5898.77,4817.12,4420.76,5089.32,5090.72,5266.36
Syrian Arab Republic,,,,8545.37,10862.67,13862.06,16146.5,12317.44,8767.86,7457.2,6531.69
Suriname,78698.75,42578.98,40144.87,34863.73,27288.73,24188.09,32536.51,36284.32,32157.26,22679.86,17817.2
Czechia,10814.28,13234.17,14325.51,17876.33,23984.71,23706.81,26355.24,25886.59,28745.64,33058.15,31546.68
Congo,1093.76,969.58,937.68,934.73,1068.33,1081.38,1132.32,1403.3,1437.52,1445.81,1450.27
