Country,1988-1990,1991-1993,1994-1996,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2016,2017-2018,2019-2020
Malaysia,8.09,12.0,20.82,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45
Luxembourg,88.19,82.2,75.41,75.73,78.48,82.88,87.75,92.22,92.89,94.85,95.51,94.93
Slovenia,,,,,20.81,18.71,17.81,17.73,16.08,18.28,18.0,17.47
Indonesia,6.36,7.78,9.5,10.84,10.82,8.99,8.95,9.49,9.94,10.54,10.69,10.69
Monaco,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nigeria,22.92,26.16,28.57,30.43,32.31,34.68,37.36,39.79,40.08,40.08,40.08,40.08
Peru,,,,,,,9.18,7.56,6.18,5.51,5.14,5.81
Ecuador,,,,,10.38,12.39,13.04,13.04,13.04,13.04,13.04,13.04
"Korea, Republic of",21.73,23.39,25.61,25.4,26.17,26.28,25.56,25.9,26.23,24.47,24.64,24.64
Hungary,11.86,13.58,13.79,14.36,14.32,14.63,14.34,14.18,13.56,13.85,13.7,14.41
Chile,,5.24,4.58,3.95,3.6,3.58,3.61,3.73,3.85,3.96,3.99,3.99
Türkiye,,16.06,14.17,12.13,13.69,13.2,12.18,10.64,10.16,10.5,11.11,10.98
Croatia,,,,,88.02,84.84,80.26,77.23,73.76,64.26,49.73,36.61
El Salvador,,33.09,30.5,28.5,26.19,23.14,22.38,22.38,22.38,22.38,22.38,22.38
Saint Lucia,,,,,,,29.14,29.14,29.14,29.14,29.14,29.14
Serbia,,,,,,,17.21,16.71,16.46,14.06,12.02,12.3
Cabo Verde,,,,,6.71,6.02,5.93,5.93,5.93,5.93,5.93,5.93
Trinidad and Tobago,,,,63.13,62.84,62.22,62.02,62.01,62.0,62.0,62.0,62.0
Gabon,68.08,63.72,60.61,58.29,57.87,60.19,60.89,60.89,60.89,60.89,60.89,60.89
Saint Kitts and Nevis,,,,,,,,,98.72,98.72,98.72,98.72
Afghanistan,0.98,0.94,0.89,0.83,0.81,0.95,1.0,1.0,1.0,1.0,1.0,1.0
Mexico,,,,,13.59,14.07,14.0,14.2,14.44,14.55,15.47,14.71
Mauritania,5.77,5.49,5.21,4.93,5.2,6.7,7.07,7.07,7.07,7.07,7.07,7.07
Cambodia,,,,,,,4.49,4.49,4.49,4.49,4.49,4.49
Norway,33.15,32.84,32.41,33.35,32.1,32.45,31.86,31.71,30.45,28.53,28.81,28.81
Haiti,,6.12,8.52,9.69,10.68,11.63,12.53,13.1,13.1,13.1,13.1,13.1
