Country,1961-1966,1967-1971,1972-1976,1977-1981,1982-1986,1987-1991,1992-1996,1997-2001,2002-2006,2007-2011,2012-2016,2017-2021
Dominica,10.22,9.33,9.33,9.33,8.0,6.67,4.8,5.33,6.67,7.47,8.0,8.0
Comoros,34.93,34.93,34.93,34.93,34.93,34.93,34.93,34.93,34.93,34.93,34.93,34.93
Sweden,8.12,7.5,7.39,7.31,7.19,6.99,6.82,6.68,6.52,6.43,6.34,6.24
Paraguay,1.89,2.03,2.38,3.79,4.69,5.21,6.17,7.31,8.49,9.74,11.6,11.87
Honduras,11.72,11.89,12.48,13.35,13.07,13.0,14.39,11.88,9.45,9.16,9.1,9.1
Ethiopia,10.56,11.3,11.81,11.81,10.98,9.94,9.89,9.88,10.99,12.64,13.82,14.33
Myanmar,15.18,15.23,14.68,14.64,14.69,14.62,14.61,14.9,15.31,16.43,16.61,16.89
Morocco,15.02,15.72,16.19,16.95,17.59,18.92,20.2,19.76,18.76,17.79,17.7,17.17
Serbia,,,,,,,,,29.68,30.15,29.61,30.15
Cabo Verde,9.43,9.43,9.43,9.43,9.43,9.93,10.27,11.02,11.81,12.31,12.41,12.41
Iraq,10.78,11.09,11.57,11.91,12.0,11.87,11.68,9.92,10.49,9.6,10.96,11.45
India,52.95,53.82,54.26,54.79,54.93,54.9,54.54,54.17,53.68,53.0,52.62,52.18
"Moldova, Republic of",,,,,,,53.45,55.16,55.84,55.27,53.71,51.79
Indonesia,9.94,9.94,9.94,9.94,10.34,11.21,9.79,10.72,12.15,12.44,12.72,13.99
Belgium,,,,,,,,28.19,27.69,27.62,27.18,28.23
Papua New Guinea,0.17,0.21,0.28,0.36,0.4,0.42,0.43,0.45,0.52,0.64,0.69,0.73
Turks and Caicos Islands,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
