Country,1961-1971,1972-1981,1982-1991,1992-2001,2002-2011,2012-2021
Lao People's Democratic Republic,650272.73,755500.0,792600.0,855500.0,1224800.0,1403145.0
United Arab Emirates,5727.27,11700.0,27700.0,46400.0,56240.0,44320.0
Viet Nam,5574545.45,5842900.0,5583000.0,5772300.0,6412360.0,6753280.0
Tajikistan,,,,818000.0,756350.0,819190.0
Qatar,1000.0,2200.0,8300.0,12930.0,13661.0,19186.0
Gabon,140000.0,255300.0,304000.0,322600.0,325000.0,325000.0
Togo,1800000.0,1855000.0,2018000.0,2200000.0,2396000.0,2650000.0
Northern Mariana Islands,,,1000.0,1000.0,625.0,182.0
Equatorial Guinea,36272.73,24500.0,15300.0,19700.0,43800.0,53700.0
Sri Lanka,759909.09,888400.0,885800.0,895400.0,1083600.0,1331737.28
Cuba,1786363.64,2895300.0,3261200.0,3611500.0,3579480.0,2992517.0
Belize,37727.27,42600.0,48200.0,62200.0,71300.0,88000.0
Niger,11569181.82,10079300.0,10087900.0,13682600.0,14582000.0,17230000.0
Grenada,5000.0,3600.0,2500.0,1400.0,2300.0,3000.0
Central African Republic,1730000.0,1834000.0,1870000.0,1870000.0,1859000.0,1800000.0
Cameroon,5240909.09,5657300.0,5927000.0,5960000.0,6009500.0,6200000.0
Comoros,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0
Russian Federation,,,,127029900.0,121969500.0,121649000.0
Mongolia,776363.64,995100.0,1336700.0,1279050.0,1199788.62,1322223.32
"Venezuela, Bolivarian Republic of",2915181.82,2915800.0,2894700.0,2595100.0,2631700.0,2600000.0
French Polynesia,2000.0,2000.0,2000.0,2800.0,2850.0,2500.0
Mauritius,94363.64,99900.0,99400.0,91700.0,83100.0,75100.0
Puerto Rico,184000.0,92600.0,65400.0,45070.0,50350.0,51790.0
San Marino,1000.0,1000.0,1000.0,1000.0,1000.0,1689.5
Palau,,,300.0,300.0,300.0,300.0
Romania,9808545.45,9765900.0,9821700.0,9346600.0,8991800.0,8694800.0
Sudan,11270090.91,12190800.0,12659000.0,15743600.0,18831220.0,20465424.0
