Country,1990-1993,1994-1997,1998-2001,2002-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020
Pakistan,1.7,2.08,2.0,1.84,1.7,1.56,1.46,1.37,1.32
Bhutan,2.27,2.25,2.73,,,,,,
Angola,2.54,2.04,1.95,1.55,1.31,1.19,1.07,0.96,0.86
Singapore,3.61,4.85,8.04,7.34,6.49,4.94,4.53,3.62,1.68
Estonia,0.53,0.76,1.1,1.13,1.01,0.82,0.85,0.91,0.98
Lesotho,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21
Canada,0.56,0.5,0.42,0.38,0.35,0.35,0.35,0.35,0.35
"Iran, Islamic Republic of",3.21,4.72,3.88,2.45,2.4,2.33,2.29,2.09,2.31
"Tanzania, United Republic of",0.34,0.27,0.21,0.15,0.14,0.13,0.12,0.11,0.1
Senegal,0.83,0.68,0.6,0.59,0.58,0.55,0.52,0.47,0.41
Somalia,3.78,16.71,7.3,,,0.11,0.7,0.78,0.63
Belgium,2.21,1.14,0.95,0.86,0.83,0.75,0.71,0.68,0.53
Dominican Republic,0.83,1.21,1.24,1.16,1.55,1.03,1.51,1.52,1.44
"Moldova, Republic of",0.89,1.11,1.01,0.83,0.79,0.78,0.79,0.73,0.67
Jamaica,0.27,0.3,0.27,0.23,0.24,0.23,0.23,0.27,0.41
Portugal,1.68,2.24,1.75,1.69,1.65,1.66,1.56,1.28,1.0
Guyana,1.07,1.0,1.12,1.02,1.08,0.75,0.65,1.13,1.08
Burkina Faso,0.23,0.22,0.24,0.24,0.19,0.19,0.18,0.16,0.15
Indonesia,0.35,0.48,0.5,0.52,0.53,0.52,0.55,0.53,0.5
Algeria,1.87,2.29,3.35,3.28,3.26,2.99,2.77,2.67,2.63
