Country,2000-2002,2003-2005,2006-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Zambia,45.62,45.27,44.83,44.4,44.02,43.59,43.13,42.63,42.1,41.96
Egypt,95.07,95.8,96.54,97.16,97.65,98.14,98.64,99.14,99.63,99.76
Malta,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96
United States,99.84,99.84,99.84,99.84,99.84,99.85,99.85,99.85,99.85,99.86
Turks and Caicos Islands,,,,,,,93.24,93.24,93.24,93.24
Argentina,90.38,91.58,92.8,93.81,94.63,95.44,96.26,97.09,97.6,98.41
Cambodia,56.49,61.58,66.75,71.11,74.64,78.2,81.8,85.44,89.1,92.5
Uruguay,94.07,94.1,94.66,95.3,95.82,96.33,96.85,97.36,97.88,98.27
Papua New Guinea,57.33,57.19,56.01,54.71,53.57,52.43,51.3,50.19,49.08,48.8
Thailand,90.28,91.67,93.06,94.22,95.15,96.09,97.02,97.95,98.88,99.55
Dominican Republic,82.11,83.29,84.48,85.48,86.28,87.08,87.89,88.7,89.51,90.32
Palau,96.67,97.03,97.38,97.67,97.91,98.15,98.38,98.62,98.85,99.09
Mexico,85.77,86.88,88.01,88.95,89.7,90.46,91.22,91.98,92.74,93.46
Kyrgyzstan,92.16,92.37,92.86,93.29,93.64,93.99,94.34,94.69,95.04,95.13
Fiji,94.85,95.25,95.25,94.99,94.78,94.56,94.34,94.11,93.81,93.22
Haiti,28.62,31.23,33.94,36.29,38.22,40.2,42.23,44.31,45.9,45.9
Netherlands,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
Romania,92.4,92.4,93.02,93.8,94.42,95.05,95.67,96.29,96.91,97.38
Latvia,94.67,95.04,95.18,95.29,95.37,95.44,95.86,96.25,96.25,96.25
