Country,1800-1820,1821-1841,1842-1862,1863-1883,1884-1904,1905-1925,1926-1946,1947-1967,1968-1988,1989-2009,2010-2099
Aruba,5.64,5.64,5.64,5.64,5.64,5.64,5.69,5.0,2.53,1.95,1.7
India,5.95,5.95,5.95,5.94,5.74,5.73,5.89,5.86,4.84,3.23,2.25
Spain,5.13,5.13,5.0,4.87,4.68,4.26,3.16,2.7,2.32,1.29,1.63
Paraguay,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.46,5.27,3.77,2.55
Australia,6.3,5.74,5.26,5.05,4.17,3.25,2.44,3.2,2.2,1.82,1.87
Belgium,4.81,4.84,4.51,4.75,4.1,3.04,2.12,2.48,1.8,1.67,1.89
Türkiye,6.92,6.92,6.92,6.92,6.92,6.83,6.71,6.4,4.59,2.55,1.92
Ecuador,6.98,6.99,6.99,7.0,7.0,6.9,6.94,6.66,5.08,3.17,2.3
Madagascar,6.89,6.89,6.89,6.89,6.89,6.89,7.07,7.3,6.78,5.59,3.83
Belarus,7.0,7.0,7.0,6.98,6.27,5.51,4.05,2.65,2.15,1.45,1.6
New Zealand,5.25,5.25,5.19,5.38,3.82,3.35,2.75,3.42,2.44,2.11,1.96
Seychelles,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.28,4.34,2.34,2.03
Saint Lucia,5.53,5.53,5.53,5.53,5.53,5.53,5.45,6.38,4.97,2.55,1.81
Puerto Rico,5.15,5.15,5.15,5.15,5.12,4.88,5.18,4.69,2.72,1.95,1.66
Martinique,5.71,5.71,5.71,5.71,5.71,5.71,5.68,5.57,3.04,1.95,1.81
"Korea, Republic of",6.0,6.0,6.0,6.0,6.0,5.95,6.01,5.49,3.06,1.42,1.48
Bhutan,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.52,3.91,2.0
Djibouti,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.43,6.54,4.79,2.86
