Country,1800-1827,1828-1855,1856-1883,1884-1911,1912-1938,1939-1965,1966-1992,1993-2019,2020-2046,2047-2073,2074-2100
Haiti,6.31,6.31,6.31,6.31,6.31,6.3,5.8,3.77,2.34,1.9,1.79
chanisl,5.07,5.07,4.91,3.72,2.71,2.25,1.69,1.44,1.55,1.63,1.68
Eswatini,6.71,6.71,6.71,6.71,6.71,6.72,6.47,3.84,2.46,1.95,1.8
Congo,5.67,5.67,5.67,5.67,5.67,5.76,6.01,4.95,3.81,2.94,2.44
Malawi,6.78,6.78,6.78,6.78,6.78,6.86,7.35,5.59,3.6,2.68,2.17
Bahamas,5.9,5.9,5.9,5.9,5.64,4.32,3.11,2.0,1.71,1.73,1.77
Kyrgyzstan,6.58,6.58,6.58,6.58,6.09,4.74,4.55,2.92,2.51,2.09,1.91
Iceland,4.88,4.88,4.29,3.94,3.55,3.69,2.53,2.03,1.82,1.78,1.79
Gabon,6.45,6.34,6.24,6.01,5.72,5.15,5.47,4.29,3.0,2.33,1.99
Indonesia,6.07,6.07,6.07,6.08,5.51,5.5,4.45,2.5,2.05,1.85,1.82
Netherlands,5.11,4.99,5.08,4.67,3.23,3.1,1.86,1.7,1.79,1.82,1.83
Mauritania,6.34,6.34,6.34,6.34,6.31,6.43,6.47,5.17,3.8,2.91,2.4
Kazakhstan,6.45,6.45,6.45,6.42,6.11,4.67,3.26,2.37,2.28,1.99,1.88
"Venezuela, Bolivarian Republic of",5.68,5.78,5.88,5.86,5.57,6.19,4.44,2.64,2.01,1.8,1.78
Tonga,6.51,6.51,6.51,6.51,6.62,7.22,5.45,4.05,3.08,2.49,2.11
Ghana,6.43,6.43,6.43,6.43,6.42,6.54,6.44,4.51,3.24,2.53,2.12
Malta,5.49,5.49,5.49,5.28,4.48,4.11,2.04,1.57,1.6,1.73,1.78
Azerbaijan,8.1,8.1,8.1,7.95,7.08,5.67,3.94,2.09,1.91,1.82,1.81
Suriname,6.58,6.58,6.58,6.58,6.58,6.56,4.3,2.66,2.06,1.83,1.8
Ukraine,7.5,7.5,7.49,6.76,4.85,2.71,1.98,1.38,1.68,1.78,1.82
Martinique,5.71,5.71,5.71,5.71,5.7,5.63,3.05,1.95,1.81,1.8,1.82
Cyprus,6.03,6.03,5.93,4.51,4.15,3.79,2.48,1.61,1.45,1.65,1.75
United Kingdom,5.43,4.85,4.87,3.67,2.22,2.34,1.95,1.8,1.86,1.86,1.86
Philippines,6.5,6.32,6.34,6.18,5.86,6.62,5.35,3.44,2.49,2.05,1.85
Mali,6.23,6.23,6.23,6.23,6.26,6.72,7.14,6.62,4.57,2.93,2.23
Ethiopia,7.17,7.17,7.17,7.17,7.19,7.12,7.2,5.56,2.89,2.05,1.81
Paraguay,6.49,6.49,6.49,6.49,6.49,6.49,5.21,3.13,2.14,1.85,1.78
Pakistan,6.59,6.59,6.59,6.59,6.59,6.6,6.44,4.21,2.72,2.1,1.86
Tunisia,6.4,6.4,6.4,6.4,6.37,6.45,5.31,2.22,1.96,1.84,1.83
Hungary,5.18,5.16,5.16,5.07,3.36,2.42,1.96,1.38,1.53,1.66,1.72
