Country,1980-1985,1986-1991,1992-1997,1998-2003,2004-2008
Finland,25.51,25.68,25.87,26.13,26.55
New Zealand,25.41,25.82,26.25,26.82,27.51
Barbados,24.51,24.87,25.18,25.65,26.17
Syrian Arab Republic,24.63,25.09,25.59,26.27,26.76
Paraguay,23.59,23.96,24.4,24.89,25.35
Lithuania,25.99,25.98,25.87,26.03,26.62
Sao Tome and Principe,21.39,21.68,22.04,22.59,23.24
United Kingdom,24.9,25.42,26.07,26.7,27.2
Ireland,25.87,26.05,26.43,27.01,27.5
Philippines,21.38,21.7,22.08,22.44,22.74
Rwanda,21.72,21.82,21.74,21.91,22.36
Equatorial Guinea,21.13,21.21,21.42,22.28,23.42
Bahrain,24.26,24.93,25.8,26.72,27.54
Panama,23.74,24.23,24.74,25.38,26.0
Papua New Guinea,22.08,22.83,23.65,24.36,24.84
Morocco,23.41,23.9,24.43,24.93,25.43
Sudan,20.8,20.95,21.22,21.63,22.17
Nepal,20.87,20.7,20.64,20.68,20.74
Fiji,22.65,23.48,24.37,25.32,26.21
Macao,22.92,23.56,24.24,24.8,25.4
Mexico,24.79,25.44,26.07,26.69,27.23
Brazil,22.86,23.44,24.1,24.79,25.5
Saint Kitts and Nevis,25.45,25.96,26.53,27.26,27.96
India,20.98,20.75,20.64,20.79,20.91
Gabon,22.42,22.77,23.13,23.54,23.9
Kenya,20.42,20.69,20.95,21.19,21.45
Cook Islands,26.8,28.2,29.5,30.81,32.17
South Africa,23.22,23.45,23.83,24.71,26.19
