Country,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2019
Tonga,29.19,30.92,30.83,29.82,30.81,31.95
French Polynesia,,,15.8,,,
Gabon,22.97,25.32,27.22,27.57,26.54,27.28
Kiribati,30.8,32.16,33.23,33.72,33.83,34.25
Norway,24.4,23.82,21.9,19.42,17.76,15.73
Viet Nam,17.33,16.97,17.94,19.62,20.31,21.22
Philippines,24.79,25.19,22.21,20.3,21.1,22.79
Chile,17.04,16.33,15.56,14.97,14.85,14.14
Côte d'Ivoire,12.97,13.51,14.71,14.91,15.64,16.11
Kuwait,14.79,16.66,17.87,18.1,15.85,13.08
Burkina Faso,17.78,18.21,17.74,17.62,18.28,20.17
Burundi,17.79,18.42,16.92,15.85,15.82,15.99
"Venezuela, Bolivarian Republic of",14.76,14.96,15.08,15.26,16.56,17.43
Rwanda,21.94,22.11,19.26,17.94,18.3,19.41
Guinea-Bissau,17.33,18.23,19.33,20.79,21.72,22.33
Estonia,22.76,21.4,21.49,19.71,17.61,17.38
Indonesia,17.98,19.46,20.21,20.61,20.95,20.53
Netherlands,33.94,33.07,29.13,26.81,25.28,24.27
Ukraine,26.88,28.32,25.58,21.29,18.48,19.75
cheslo,20.48,,,,,
Nauru,31.73,35.91,40.56,43.04,42.74,41.51
Afghanistan,13.91,14.21,14.51,14.78,15.29,16.13
Dominica,27.23,26.88,27.89,28.66,30.26,30.71
