Country,1990-1993,1994-1997,1998-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016
Samoa,2.45,2.28,2.14,2.02,1.93,1.88,1.83,1.75
Sweden,1.52,1.36,1.33,1.24,1.16,1.11,1.03,0.98
Bermuda,0.92,0.78,0.72,0.67,0.61,0.54,0.45,0.39
Morocco,3.9,3.51,3.08,2.82,2.54,2.42,2.18,2.05
Saint Kitts and Nevis,,,,2.58,,,,
Greenland,14.14,12.61,11.67,10.24,8.67,7.07,6.24,5.9
Djibouti,9.84,9.45,8.78,8.12,7.68,7.25,6.76,6.31
Nepal,3.8,3.18,2.91,2.66,2.45,2.24,2.08,1.95
Dominican Republic,2.61,2.23,1.84,1.68,2.09,1.41,1.34,1.27
Cameroon,6.1,6.64,7.02,6.67,6.39,6.26,6.13,5.86
Argentina,2.6,2.49,2.34,2.21,2.15,2.04,1.92,1.78
Vanuatu,3.03,3.11,3.36,3.42,3.37,3.28,3.11,3.01
Oman,1.42,1.18,1.03,0.93,0.86,0.89,0.86,0.78
Georgia,6.36,5.7,4.87,4.55,4.53,4.4,4.4,4.15
Papua New Guinea,4.4,4.24,4.05,3.95,4.04,4.02,3.83,3.61
Slovakia,1.45,1.21,1.12,1.08,1.19,1.03,0.91,0.83
United Kingdom,1.24,1.14,1.05,0.95,0.85,0.76,0.68,0.63
Kiribati,1.68,1.65,1.7,1.7,1.71,1.72,1.65,1.57
"Palestine, State of",4.01,3.95,3.02,1.89,1.52,1.45,1.48,1.46
Namibia,8.72,8.47,8.64,8.16,7.19,6.27,5.65,5.3
