Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2018,2019-2020
Sao Tome and Principe,0.09,0.09,0.09,0.09,0.1,0.11,0.11,0.12,0.12,0.12,0.11
Sudan,0.07,0.05,0.05,0.05,0.06,0.07,0.08,0.1,0.11,0.13,0.13
Barbados,0.26,0.25,0.27,0.28,0.28,0.28,0.32,0.32,0.27,0.26,0.25
Chad,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.05
Myanmar,0.13,0.15,0.16,0.15,0.11,0.08,0.05,0.05,0.07,0.1,0.1
Zimbabwe,0.42,0.37,0.28,0.28,0.26,0.3,0.27,0.26,0.23,0.19,0.18
Guinea-Bissau,0.1,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.07
United Arab Emirates,0.28,0.3,0.29,0.28,0.28,0.27,0.33,0.34,0.33,0.29,0.29
Japan,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.23,0.21,0.2,0.19
Sri Lanka,0.06,0.06,0.08,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07
Palau,0.25,0.78,0.64,0.69,0.66,0.65,0.67,0.68,0.59,0.6,0.54
Niger,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.07,0.07,0.06,0.06
Panama,0.1,0.11,0.12,0.12,0.11,0.12,0.11,0.1,0.09,0.07,0.09
Ireland,0.3,0.28,0.24,0.21,0.19,0.17,0.16,0.13,0.11,0.09,0.07
Mauritius,0.12,0.13,0.12,0.15,0.15,0.16,0.16,0.15,0.14,0.13,0.13
Cyprus,0.3,0.3,0.29,0.28,0.27,0.25,0.23,0.21,0.21,0.19,0.17
Hungary,0.31,0.3,0.28,0.25,0.22,0.19,0.17,0.15,0.14,0.14,0.13
Samoa,0.15,0.16,0.18,0.18,0.17,0.16,0.15,0.16,0.17,0.18,0.17
Mongolia,1.07,0.94,0.67,0.63,0.59,0.58,0.54,0.5,0.42,0.44,0.44
Switzerland,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.05
Singapore,0.21,0.19,0.16,0.15,0.13,0.1,0.09,0.08,0.07,0.07,0.07
Central African Republic,0.04,0.04,0.04,0.05,0.05,0.04,0.03,0.03,0.04,0.04,0.04
Nigeria,0.23,0.23,0.25,0.23,0.18,0.13,0.1,0.1,0.1,0.1,0.1
Belarus,0.78,0.71,0.63,0.48,0.4,0.33,0.28,0.24,0.23,0.24,0.22
