Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2018,2019-2020
Kiribati,0.26,0.24,0.25,0.24,0.31,0.37,0.32,0.27,0.22,0.23,0.19
Angola,0.17,0.34,0.35,0.31,0.23,0.15,0.14,0.14,0.15,0.11,0.1
Kuwait,0.4,0.39,0.37,0.44,0.41,0.34,0.34,0.32,0.47,0.44,0.47
Mongolia,1.98,1.62,1.09,0.99,0.86,0.79,0.69,0.61,0.56,0.55,0.49
United Arab Emirates,0.34,0.34,0.31,0.29,0.27,0.24,0.28,0.27,0.31,0.28,0.28
Switzerland,0.23,0.2,0.19,0.17,0.15,0.13,0.11,0.09,0.07,0.06,0.06
Poland,1.5,1.25,0.99,0.74,0.62,0.53,0.41,0.34,0.29,0.27,0.21
Papua New Guinea,0.29,0.19,0.2,0.24,0.31,0.27,0.25,0.21,0.2,0.19,0.17
Singapore,0.38,0.33,0.26,0.24,0.19,0.13,0.12,0.1,0.09,0.08,0.08
Myanmar,0.22,0.24,0.24,0.21,0.15,0.1,0.05,0.06,0.09,0.12,0.11
Brazil,0.2,0.18,0.2,0.2,0.18,0.15,0.14,0.15,0.16,0.14,0.13
Portugal,0.35,0.35,0.32,0.32,0.29,0.24,0.19,0.17,0.16,0.15,0.11
Latvia,0.98,0.79,0.55,0.38,0.3,0.23,0.21,0.18,0.15,0.13,0.11
China,1.81,1.44,1.14,0.91,0.87,0.83,0.7,0.64,0.54,0.48,0.44
Germany,0.56,0.48,0.44,0.37,0.33,0.29,0.25,0.22,0.19,0.16,0.13
Liberia,0.3,0.7,0.44,0.16,0.2,0.23,0.16,0.18,0.19,0.14,0.13
Bahrain,0.74,0.67,0.63,0.57,0.53,0.5,0.45,0.42,0.47,0.42,0.42
Iraq,0.99,1.06,0.77,0.34,0.4,0.28,0.27,0.27,0.36,0.37,0.36
Gabon,0.35,0.33,0.34,0.35,0.33,0.26,0.24,0.21,0.21,0.16,0.15
Albania,0.59,0.28,0.19,0.26,0.26,0.21,0.17,0.16,0.14,0.14,0.11
Eritrea,0.24,0.29,0.23,0.18,0.17,0.12,0.1,0.11,,,
Ethiopia,0.11,0.1,0.11,0.11,0.13,0.1,0.08,0.08,0.08,0.07,0.07
India,0.54,0.5,0.46,0.42,0.37,0.33,0.32,0.31,0.3,0.27,0.23
Luxembourg,0.92,0.69,0.47,0.36,0.38,0.32,0.24,0.21,0.15,0.13,0.11
Austria,0.38,0.33,0.32,0.28,0.28,0.24,0.2,0.17,0.14,0.13,0.12
Pakistan,0.26,0.27,0.26,0.25,0.23,0.21,0.19,0.17,0.17,0.18,0.16
Saudi Arabia,0.31,0.3,0.3,0.31,0.31,0.28,0.3,0.29,0.35,0.33,0.34
Togo,0.2,0.19,0.18,0.2,0.21,0.19,0.24,0.19,0.13,0.13,0.12
Iceland,0.34,0.33,0.3,0.25,0.23,0.19,0.16,0.14,0.12,0.09,0.07
