Country,1960-1966,1967-1973,1974-1980,1981-1986,1987-1992,1993-1998,1999-2004,2005-2010,2011-2016
France,2.82,4.52,8.32,12.72,15.57,19.53,22.82,25.42,25.63
Denmark,0.0,0.0,0.0,1.04,7.0,12.28,19.07,18.93,19.28
"Moldova, Republic of",,,,,34.45,41.77,28.22,26.47,22.39
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
United States,22.82,24.42,21.29,19.88,20.08,21.67,21.16,22.0,28.14
Jordan,0.0,0.0,0.0,0.0,1.11,3.12,4.82,26.03,11.68
Gibraltar,0.0,0.0,0.0,0.0,0.0,,,,
Austria,9.32,11.03,16.09,17.05,19.18,23.63,23.59,24.64,25.13
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.01,1.64,2.71,1.5
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libya,0.0,0.0,3.42,15.69,26.67,25.86,24.19,23.59,22.06
North Macedonia,,,,,0.0,0.07,1.55,1.94,3.39
Canada,13.14,18.91,24.12,27.83,29.58,33.76,32.85,33.33,36.11
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,22.99,12.46,8.86,17.34,24.34,29.13,20.66,16.12,16.35
Bangladesh,12.41,21.23,26.82,43.2,64.63,78.51,75.36,77.86,71.54
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, The Democratic Republic of the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.32
Liechtenstein,,,,,,,,30.89,30.42
Namibia,,,,,0.0,0.0,0.0,0.0,0.0
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,,,,,32.26,30.55,26.86,27.07,29.91
Portugal,0.0,0.0,0.0,0.0,0.0,0.54,9.14,15.96,18.98
Azerbaijan,,,,,50.69,30.09,41.6,65.66,65.64
Belarus,,,,,38.67,47.69,63.98,66.48,65.65
"Virgin Islands, British",0.0,0.0,0.0,0.0,0.0,,,,
French Polynesia,0.0,0.0,0.0,0.0,0.0,,,,
