Country,1960-1969,1970-1979,1980-1989,1990-1998,1999-2007,2008-2016
Norway,13064.79,24260.87,28393.21,21322.79,26274.06,29223.95
Uzbekistan,,,,20399.52,17819.58,9295.44
New Caledonia,448.11,1797.56,1063.43,1371.87,1782.57,2507.01
Greenland,246.06,468.28,460.58,341.44,499.93,583.87
Aruba,11846.61,13837.42,7045.77,651.91,2386.81,1684.78
Kenya,2360.45,3846.32,4109.61,6058.29,7771.6,10421.61
Pakistan,9521.37,11020.44,20756.69,41988.78,51997.65,67379.09
Israel,10063.35,17957.67,18612.23,28081.48,27344.0,26183.19
United Kingdom,181143.93,260634.96,206106.3,203204.77,190438.31,168338.52
Cameroon,366.33,1057.93,4668.82,2238.09,3270.15,5219.77
Saint Vincent and the Grenadines,16.87,33.37,57.94,114.08,195.98,231.02
Albania,1839.0,3055.34,2942.77,1719.82,3433.94,3504.84
"Bolivia, Plurinational State of",1298.12,2631.44,3147.39,4526.71,5930.35,9202.95
Egypt,19136.61,24008.58,50501.19,59785.14,76175.41,103040.26
Estonia,,,,3107.0,2082.04,1148.99
Jordan,1134.57,2285.27,7076.94,10975.33,14417.83,17244.68
Myanmar,2254.47,3604.66,3610.16,3314.15,5533.5,7986.73
Peru,10498.62,17146.16,19317.39,19574.85,20970.76,25529.65
Senegal,782.9,1802.33,2793.89,3118.99,3412.75,4926.82
Bangladesh,9521.37,5055.69,5026.36,6438.03,9838.15,13220.76
United Arab Emirates,40.7,3694.5,15507.01,20373.04,29056.49,49235.59
Burkina Faso,94.98,226.25,547.48,672.28,1109.47,2346.47
Croatia,,,,10688.78,12505.69,9891.53
Turkmenistan,,,,10507.0,14073.13,18228.66
Macao,110.74,278.69,738.9,1261.04,1602.07,1286.3
