Country,1990-1995,1996-2000,2001-2005,2006-2010,2011-2015,2016-2020
Suriname,0.36,0.34,0.2,0.17,0.22,0.25
Panama,0.11,0.12,0.12,0.11,0.1,0.08
Spain,0.2,0.2,0.21,0.18,0.15,0.13
Central African Republic,0.05,0.06,0.06,0.04,0.04,0.05
Russian Federation,0.77,0.79,0.63,0.49,0.44,0.42
Lao People's Democratic Republic,0.06,0.06,0.06,0.08,0.12,0.35
China,1.19,0.86,0.78,0.75,0.65,0.5
Marshall Islands,0.31,0.56,0.61,0.69,0.7,0.61
Palau,,0.81,0.76,0.75,0.72,0.64
Qatar,,0.56,0.55,0.4,0.35,0.35
Belgium,0.31,0.29,0.25,0.21,0.17,0.16
Mali,0.04,0.05,0.06,0.07,0.08,0.09
"Tanzania, United Republic of",0.06,0.07,0.07,0.08,0.09,0.09
Sao Tome and Principe,,,0.17,0.17,0.19,0.19
Romania,0.49,0.37,0.3,0.21,0.17,0.13
Netherlands,0.28,0.24,0.22,0.19,0.18,0.16
Ecuador,0.19,0.23,0.22,0.22,0.22,0.2
Czechia,0.6,0.5,0.44,0.34,0.29,0.24
Solomon Islands,0.2,0.21,0.3,0.28,0.24,0.17
