Country,2005-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019,2020-2021,2022-2023
Chad,2.83,2.5,2.0,2.5,2.5,2.5,2.5,2.5,2.5
Malawi,3.5,3.5,3.0,2.75,3.0,3.0,3.0,3.0,3.0
India,3.5,3.5,3.25,3.0,,,,,
Samoa,3.67,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Ghana,4.0,4.0,4.5,4.5,4.0,3.75,3.5,3.5,3.5
Cameroon,3.17,3.0,3.0,3.0,3.0,3.0,3.0,2.75,3.0
Indonesia,3.0,,,,,,,,
"Bolivia, Plurinational State of",2.67,2.5,2.5,2.5,2.5,,,,
Azerbaijan,3.5,4.0,4.0,,,,,,
Kyrgyzstan,3.5,3.75,3.5,3.5,3.75,4.0,3.25,3.0,3.0
Mauritania,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.25
Bangladesh,3.5,3.5,3.5,3.5,3.25,3.0,3.0,3.0,3.0
kos,,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0
South Sudan,,,,2.5,2.0,2.0,1.75,1.5,1.5
Central African Republic,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Vanuatu,3.17,3.25,3.5,3.0,3.0,3.0,3.0,3.0,3.0
Burundi,2.5,2.5,2.75,3.0,3.0,3.0,3.0,3.0,3.0
Marshall Islands,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Comoros,2.5,2.5,2.5,2.5,2.75,3.0,3.0,3.0,3.0
Guinea,3.0,3.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0
Niger,3.17,3.0,3.0,3.0,3.25,3.5,3.5,3.5,3.5
Kiribati,3.0,3.0,2.75,2.5,2.5,2.5,2.5,2.5,2.5
Togo,3.0,3.0,2.75,3.0,3.0,3.0,3.5,3.5,4.0
Cambodia,3.5,3.5,3.5,3.5,3.25,2.75,2.5,2.75,3.0
Yemen,3.17,3.5,3.25,3.0,2.75,2.5,2.25,2.0,2.0
