Country,2005-2008,2009-2012,2013-2016,2017-2020,2021-2023
Cabo Verde,4.5,4.25,3.75,3.5,3.5
kos,,3.25,3.0,3.0,3.0
Bosnia and Herzegovina,3.0,3.5,3.5,,
Zimbabwe,1.38,1.88,2.62,3.38,3.5
Angola,2.5,2.5,2.5,,
Saint Lucia,3.75,3.75,3.88,4.0,4.0
Mali,3.5,3.75,3.5,3.75,4.0
Solomon Islands,2.62,2.5,2.5,2.5,2.5
Guinea,3.0,3.0,3.0,3.38,3.5
Niger,3.5,3.75,4.0,4.0,4.33
Saint Vincent and the Grenadines,3.5,3.5,3.12,3.25,3.0
Lesotho,3.0,3.0,3.0,3.0,3.0
Kenya,3.12,3.88,4.0,4.0,4.0
Pakistan,3.5,3.5,3.5,3.5,3.5
Haiti,2.88,3.0,3.0,2.62,2.5
Uzbekistan,3.5,3.88,3.62,3.75,4.33
Djibouti,3.0,3.0,3.0,3.25,3.5
Ethiopia,4.5,4.25,4.0,4.0,3.67
Armenia,4.5,4.5,4.5,,
Zambia,3.5,3.5,3.5,3.25,3.67
Grenada,3.5,3.5,3.38,3.0,3.17
Eritrea,3.0,2.5,2.5,2.5,2.5
Cameroon,3.0,3.0,3.0,3.0,3.0
Sao Tome and Principe,3.25,3.0,3.0,3.0,3.0
Comoros,2.88,2.5,2.5,2.62,3.0
Sri Lanka,3.5,3.5,3.5,3.5,3.25
