Country,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022,2023-2023
Kiribati,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Cameroon,3.5,3.0,3.0,3.0,3.0,3.0,3.25,3.5,3.5,3.5
Grenada,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Georgia,3.5,3.0,3.0,3.0,3.0,,,,,
Myanmar,,,,,2.5,2.5,2.5,2.5,2.0,2.0
Uzbekistan,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
"Bolivia, Plurinational State of",3.5,3.5,3.5,3.5,3.5,3.5,,,,
Sao Tome and Principe,2.5,2.5,2.75,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Azerbaijan,3.0,3.0,3.0,,,,,,,
Cambodia,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3.5
Guinea-Bissau,2.75,2.5,2.75,2.75,2.5,2.5,2.5,2.5,2.75,3.0
Rwanda,3.0,3.25,3.5,3.5,3.75,4.0,4.0,4.5,4.5,4.5
Saint Vincent and the Grenadines,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.75,3.5,3.5
Bosnia and Herzegovina,3.25,3.5,3.5,3.5,3.5,,,,,
Djibouti,3.0,3.0,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Solomon Islands,2.0,2.0,2.0,2.25,2.5,2.5,2.5,2.5,2.5,2.5
Haiti,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0
Kyrgyzstan,3.0,3.0,3.0,2.5,2.5,2.5,2.75,3.0,3.0,3.0
kos,,,3.0,2.75,3.0,3.0,3.0,3.5,3.5,3.5
