Country,2005-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019,2020-2021,2022-2023
Malawi,3.5,3.5,3.5,3.5,3.5,3.5,3.25,3.0,3.25
Lesotho,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.0
Honduras,3.5,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.25
Guinea,2.0,2.0,2.0,2.0,2.25,2.5,2.5,2.75,3.0
Niger,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Comoros,2.5,2.5,2.5,2.5,2.75,3.0,3.0,3.0,2.5
Tonga,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Mali,3.5,3.5,3.25,2.5,2.5,2.5,2.5,2.5,2.0
Saint Lucia,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Chad,2.0,2.0,2.0,2.25,2.5,2.5,2.5,2.5,2.5
Uganda,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3.5,3.25
Kiribati,3.5,3.5,3.5,3.5,3.5,3.5,3.75,4.0,3.5
Congo,2.33,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75
Zambia,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Tajikistan,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Togo,2.5,2.5,2.75,2.5,2.5,2.5,3.0,3.5,3.5
