Country,2005-2008,2009-2012,2013-2016,2017-2020,2021-2023
"Tanzania, United Republic of",3.71,3.83,3.75,3.37,3.22
Benin,3.8,3.63,3.42,3.37,3.72
Congo,2.78,3.0,3.0,2.75,2.67
Djibouti,3.59,3.58,3.33,3.25,3.17
Bhutan,3.18,3.21,3.25,3.33,3.33
Sierra Leone,3.05,3.17,3.17,3.08,3.0
Guyana,3.5,3.42,3.33,3.21,3.17
Azerbaijan,3.58,3.67,,,
Samoa,4.04,4.08,3.83,3.75,3.67
Afghanistan,2.44,2.54,2.58,2.46,2.17
Niger,3.37,3.29,3.37,3.42,3.28
Marshall Islands,,3.0,2.75,2.54,2.5
Lesotho,3.32,3.25,3.42,3.5,3.5
Cabo Verde,3.87,3.92,3.87,3.83,4.0
Somalia,,,,1.61,2.17
Sri Lanka,3.79,3.88,3.89,3.83,3.42
Burundi,2.91,3.12,3.33,3.17,3.22
Maldives,3.95,3.67,3.58,3.5,3.5
Côte d'Ivoire,3.2,3.33,3.33,3.42,3.72
Zambia,3.51,3.63,3.67,3.83,3.83
Serbia,3.33,,,,
Liberia,,2.83,3.0,2.87,2.83
Nepal,3.3,3.17,3.5,3.63,3.83
Kiribati,3.0,2.88,2.79,2.83,2.67
Togo,3.18,3.13,3.17,3.29,3.67
Tonga,3.09,3.75,3.54,3.54,3.5
