Country,1960-1977,1978-1983,1984-1989,1990-1995,1996-2001,2002-2007,2008-2012,2013-2017,2018-2022
Bangladesh,0.0,0.0,0.0,725.67,175500.0,11287090.5,69094380.4,132344347.4,173653216.0
Seychelles,0.0,0.0,0.0,8.33,14573.33,59125.5,116961.0,151101.8,189019.2
United Arab Emirates,,2947.0,12755.17,69424.5,861028.33,4478077.17,11291657.0,18111289.6,19266257.0
Burkina Faso,0.0,0.0,0.0,0.0,18537.5,708873.83,6042766.0,14306517.8,21624787.5
Cambodia,0.0,0.0,0.0,4858.17,93520.17,1184476.0,10303575.8,20011103.0,20265535.8
Trinidad and Tobago,0.0,0.0,0.0,2055.67,84934.33,867168.83,1851317.6,2048859.4,2024036.4
Afghanistan,0.0,0.0,0.0,0.0,0.0,1535577.0,11550548.6,20091211.4,22478118.5
Dominica,0.0,0.0,0.0,0.0,1896.17,48382.83,102658.2,79677.8,72932.5
Chile,0.0,0.0,814.33,85447.67,2076076.17,9958258.5,19471055.8,23372832.0,25657167.0
Costa Rica,0.0,0.0,0.0,5546.0,149404.0,1042850.33,3299281.8,7767799.6,7805704.6
Barbados,0.0,0.0,0.0,1737.17,21363.83,189706.0,334599.4,321945.8,318753.4
Ethiopia,0.0,0.0,0.0,0.0,8666.17,457175.83,9502155.6,37854498.8,55010757.0
Austria,0.0,0.0,23785.67,207357.67,3493283.5,8310000.0,12220315.6,12326737.6,10868852.2
Uganda,0.0,0.0,0.0,291.17,84298.5,1642318.33,12764048.2,21288445.2,28150492.0
Bahrain,0.0,0.0,1577.83,13126.67,138244.67,712063.0,1645461.8,2483516.2,1969404.2
Tonga,0.0,0.0,0.0,50.0,184.67,22900.33,53754.4,77386.2,74092.5
"Virgin Islands, British",0.0,0.0,0.0,0.0,1200.0,14350.0,42571.0,49819.4,38073.0
American Samoa,0.0,0.0,0.0,675.0,1691.33,2128.67,,,
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,824.17,37083.33,76600.0,73694.0,64011.5
Türkiye,0.0,0.0,5153.0,139521.33,8291682.33,40694279.0,64675118.2,73610130.8,83924675.8
Guyana,0.0,0.0,0.0,727.33,20336.5,268192.17,514500.6,578481.4,830000.0
Bhutan,0.0,0.0,0.0,0.0,0.0,48151.67,406352.4,654723.2,739686.2
Denmark,0.0,3883.33,72834.5,369763.17,2440668.5,5332854.5,6855480.4,7079305.6,7303982.8
"Palestine, State of",,,,0.0,91508.5,560531.0,2347530.4,3525635.8,4235758.0
"Venezuela, Bolivarian Republic of",0.0,0.0,914.17,167997.0,3227974.67,12847219.17,28553830.2,28522439.6,18141748.6
