Country,1990-1994,1995-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019
Djibouti,24.75,25.36,25.14,24.7,23.72,22.71,21.84
Puerto Rico,5.06,4.66,4.17,3.93,4.0,3.82,3.79
Botswana,25.95,27.64,31.72,28.97,29.05,29.08,27.43
Mongolia,19.29,20.37,18.71,16.21,14.63,13.18,12.4
Türkiye,4.23,3.6,2.82,2.53,2.73,2.7,2.6
Bangladesh,11.48,9.15,8.04,7.32,6.54,5.97,5.73
Hungary,8.67,7.94,6.82,6.16,5.78,5.64,5.29
Sudan,4.36,4.05,3.81,3.66,3.53,3.42,3.3
Malawi,29.61,30.54,31.77,30.33,27.96,26.45,25.74
Ukraine,10.66,9.88,8.26,7.27,6.26,5.24,5.16
Northern Mariana Islands,20.34,17.95,17.34,16.46,15.45,15.82,15.99
"Moldova, Republic of",10.29,8.69,8.15,8.55,8.3,7.69,6.82
Burkina Faso,24.72,23.58,22.44,22.07,20.88,21.68,22.84
French Polynesia,,,15.0,,,,
Namibia,14.16,14.94,16.72,16.4,16.18,17.02,16.77
