Country,1970-1980,1981-1991,1992-2002,2003-2013,2014-2023
China,21928181818.18,96501818181.82,244090909090.91,716691343263.64,985267097200.0
Tonga,821350.0,1281272.73,959118.18,8504481.82,9668375.0
Saint Lucia,0.0,0.0,0.0,0.0,
Poland,,,5921375000.0,14613818181.82,52079800000.0
Belgium,1735978272.73,846781545.45,1481018818.18,3350118181.82,5621500000.0
Japan,1625382577454.55,1828609090909.09,404081818181.82,324245454545.45,1043011111111.11
Brunei Darussalam,,0.0,-328163.64,11326854.55,36501120.0
Saudi Arabia,8989454545.45,2909636363.64,11039363636.36,70191363636.36,112821800000.0
Iraq,1053300000.0,-95018181.82,5067049790909.09,1727375300200.0,9828502444875.0
Oman,,,33157000.0,287453872.73,-376805975.0
Palau,,,,423480.17,-447735.58
Saint Kitts and Nevis,,0.0,0.0,0.0,
Philippines,,,-7020514233.33,-17468298718.18,-106538962890.0
Ukraine,,189000.0,1083918200.0,2623000000.0,368700000.0
Uruguay,199636.36,40472181.82,1346625190.91,8869369218.18,1820084975.31
Sri Lanka,419818181.82,371909090.91,5673188427.27,73782857142.86,1109092716566.67
Montenegro,,,63969333.33,13458181.82,200271800.0
Grenada,,,0.0,0.0,
Portugal,38990363.64,236682272.73,710165000.0,299136363.64,767323100.0
Yemen,,3297500000.0,2498637500.0,,
Niger,14000000000.0,10772727272.73,25432363636.36,11466909090.91,4771986625.0
Tajikistan,,,40425600.0,120825145.45,2147922222.22
Côte d'Ivoire,12890912181.82,1481817890.91,-134517246563.64,92148586590.91,169089315788.89
Eritrea,,,0.0,,
Guyana,33609090.91,128363636.36,0.0,0.0,
Greece,146759909.09,992676454.55,1781768090.91,1648728363.64,4830835800.0
