Country,1974-1980,1981-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
Central African Republic,318258.38,5591273.81,9444508.38,10585492.93,0.0,5637671.41,19207534.75,225121934.77
Mauritania,-154798249.46,-403253369.67,-402296328.47,-531993455.77,-301280235.05,-189944906.57,552628476.81,958602497.32
Morocco,238623515.21,486682835.14,837805061.44,770201513.56,955778129.3,2924923900.54,3766216048.62,3839627630.63
Macao,,40225801.08,44798010.15,31468156.76,40191483.06,197162091.22,235301166.65,149051054.16
Kazakhstan,,,-788210236.52,86204421.92,786519785.5,2672858804.07,7471225005.61,6997767979.0
Greece,1271323683.77,1811694146.52,2951545089.98,2566090298.88,2352526106.26,1651984282.59,2034631124.99,7484690395.4
Azerbaijan,,,6182954.68,-39050577.41,-24901244.17,31815428.55,63987850.44,457608286.47
Armenia,,,17443492.83,89923556.9,27671820.09,24872047.13,89991931.61,301537005.75
Lebanon,,,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,3511000000.0,-2211164362.52,6219406639.99,4916840247.27,7172915401.12,588382572.53,-1188558565.15,16199808226.91
France,5206713517.33,1027625482.04,3336505249.88,3457723855.11,9337530766.4,9805001041.87,18411832399.12,22226534255.68
Saudi Arabia,4280780025.07,1797974229.75,879528259.9,2500971547.25,2776320679.4,22712336171.5,32707200000.0,27835955555.56
"Tanzania, United Republic of",,,13461672.0,-53820487.71,-179920860.83,195051979.73,60844133.02,-1213342374.36
Tonga,964701.08,920934.25,1812947.94,-206991.83,754269.86,6058445.94,5584998.14,3931663.01
Trinidad and Tobago,,,,,75579464.54,0.0,,
United States,12088285714.29,18584714285.71,16244833333.33,53536666666.67,28651666666.67,3850833333.33,78891000000.0,51996400000.0
Cambodia,,,28328459.2,33598968.34,57565516.18,149735659.73,184703634.26,220010940.74
Qatar,,,,,0.0,0.0,,
Singapore,360201339.18,263258926.27,838487697.78,-1655116608.49,-2145051460.62,1157867941.5,3763147286.15,5303930147.66
San Marino,,,,,,,-46902324.69,21695006.15
"Bolivia, Plurinational State of",-12544875.62,97432393.29,18851588.54,3405807.94,34738547.2,41780585.67,-9004409.07,116495282.2
Grenada,,,,0.0,0.0,0.0,0.0,
Nicaragua,,,,,,405840267.64,369987120.45,156078076.23
Angola,,,0.0,0.0,35988850.37,418204506.41,1099669704.17,134017807.84
Ireland,156102479.33,92509932.42,259122097.39,623099520.11,776396522.47,281035287.02,3541938987.1,7053339060.22
Malaysia,126286827.85,87403187.41,132011178.45,-21058294.53,873321107.55,376455865.22,-374962429.15,5525568682.01
nld_curacao,,,,,,194692737.43,28472998.14,209776536.31
Türkiye,529744508.16,1154839036.34,574014350.09,22016173.69,2420868831.79,12239175524.37,1535898294.48,10614520309.04
Egypt,310035113.86,-25077890.4,-478839761.33,-2015224921.37,368335760.36,378795782.75,3485517418.62,7154770396.8
New Zealand,149462526.42,159516563.4,278607144.73,585503021.24,766716097.03,356536430.32,1041950345.95,705731615.85
