Country,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
El Salvador,1066217.29,21100000.0,26650000.0,44744179.45,100568740.88,113626336.68
Tunisia,2685059.09,4848429.69,9809832.05,13496014.76,18404543.25,22069108.8
Nigeria,,49852057.33,128686830.57,230883381.9,252840000.0,252840000.0
Niger,436579.6,300346.9,499581.13,1998752.17,19803.89,
Belarus,1450000.0,3200000.0,41360000.0,103960000.0,166300000.0,212752133.33
Samoa,-1126.05,199127.03,93800.36,506633.16,1669427.94,502314.81
Bangladesh,5811259.5,4458066.8,8535466.01,13559615.1,33754778.92,55231853.76
Azerbaijan,,1097000.0,2712750.0,20590750.0,82906739.14,149539162.66
Spain,1459354295.31,,,4514279640.2,5138635425.66,6126845501.38
Sudan,100000.0,100000.0,21302.7,2828667.08,,1642.29
Malaysia,,637557894.74,1134450221.46,1404789127.89,1580065428.09,2466797302.97
Kyrgyzstan,3804809.69,5178559.81,10042638.14,5824139.6,5937719.2,6372448.25
Mozambique,,,3065870.07,8933574.7,16769726.31,
Aruba,,2022346.37,8690933.36,11539090.85,15380899.25,13405225.77
Sierra Leone,,197310.69,662908.53,568006.96,1061847.25,1257113.57
France,2415147951.82,4543093232.51,7423842664.53,9751323717.18,14676698540.07,13574959262.79
Mali,1709497.44,1086138.59,1079610.04,2328846.91,,
Kenya,63776695.12,54379785.16,31794540.13,32689093.22,155342630.39,69987839.24
Hungary,136633287.46,343138456.42,1535777600.29,1896523819.69,1676316183.43,1503268911.65
Myanmar,,,,,174316614.99,32501768.97
Burundi,45015.42,,,318689.39,72957.82,
Lithuania,3378647.92,13218970.53,23833622.55,37622448.57,58444244.85,214332536.34
Uganda,,7423041.98,4021001.35,8086099.24,14873993.27,11183306.05
Georgia,,8796209.04,5858160.35,8989852.91,19514162.02,69101278.6
Egypt,280380000.0,285380000.0,202300000.0,282860000.0,239100000.0,332350000.0
