Country,1990-1995,1996-2001,2002-2007,2008-2012,2013-2017,2018-2022
Sierra Leone,2566.67,5800.0,9466.67,9740.0,8420.0,7180.0
Chad,5283.33,11516.67,16000.0,16600.0,14800.0,12400.0
Costa Rica,100.0,100.0,100.0,200.0,200.0,200.0
Ethiopia,59166.67,117833.33,126666.67,96400.0,65800.0,44200.0
Paraguay,,,,,500.0,500.0
Mauritania,333.33,558.33,848.33,934.0,808.0,694.0
Thailand,5366.67,15833.33,17000.0,11920.0,6300.0,2560.0
"Congo, The Democratic Republic of the",44166.67,76000.0,88000.0,82000.0,71200.0,62800.0
Kyrgyzstan,100.0,100.0,100.0,440.0,560.0,530.0
India,,,,,,68000.0
Mozambique,19666.67,66500.0,133333.33,174000.0,172000.0,160000.0
Morocco,450.0,525.0,711.67,866.0,924.0,880.0
Pakistan,100.0,100.0,200.0,888.0,2420.0,5440.0
Cabo Verde,100.0,183.33,200.0,120.0,100.0,100.0
Nicaragua,100.0,183.33,450.0,500.0,500.0,380.0
Cameroon,7816.67,27833.33,48333.33,54000.0,43600.0,33000.0
Senegal,1036.67,3166.67,5716.67,6380.0,5500.0,4120.0
Togo,3183.33,10050.0,15833.33,15800.0,11600.0,8320.0
Eritrea,885.0,1566.67,1650.0,1300.0,858.0,560.0
Lao People's Democratic Republic,100.0,116.67,400.0,500.0,538.0,602.0
Uganda,111500.0,153333.33,160000.0,144000.0,120000.0,93800.0
Nepal,100.0,316.67,923.33,1440.0,1520.0,1320.0
