Country,1990-1993,1994-1997,1998-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Zambia,16500.0,21000.0,22000.0,21333.33,17000.0,13000.0,11000.0,9333.33,7300.0,4766.67
Guinea-Bissau,150.0,517.5,840.0,956.67,900.0,796.67,573.33,400.0,500.0,500.0
Angola,1775.0,3200.0,4975.0,6600.0,7466.67,7933.33,8366.67,7533.33,6600.0,4300.0
Sao Tome and Principe,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cambodia,225.0,925.0,1125.0,933.33,700.0,503.33,500.0,200.0,166.67,100.0
"Iran, Islamic Republic of",100.0,100.0,150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Liberia,705.0,937.5,1250.0,1166.67,1100.0,926.67,733.33,556.67,500.0,500.0
Azerbaijan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Indonesia,100.0,125.0,442.5,1106.67,2133.33,3033.33,3733.33,3700.0,3333.33,2966.67
Mauritania,100.0,200.0,200.0,200.0,200.0,200.0,200.0,133.33,133.33,100.0
Peru,562.5,710.0,612.5,500.0,500.0,500.0,300.0,400.0,300.0,400.0
Senegal,500.0,760.0,1250.0,1400.0,1233.33,943.33,823.33,613.33,513.33,500.0
Cabo Verde,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belize,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Jamaica,500.0,500.0,500.0,500.0,200.0,133.33,166.67,100.0,100.0,100.0
Gabon,500.0,657.5,885.0,936.67,903.33,813.33,646.67,530.0,500.0,500.0
Eritrea,500.0,500.0,500.0,500.0,300.0,200.0,100.0,100.0,100.0,100.0
Guyana,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ethiopia,21500.0,27750.0,24750.0,18666.67,14000.0,10000.0,6333.33,4733.33,3833.33,2200.0
