Country,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2018,2019-2022
Singapore,4345600000.0,6589600000.0,8186400000.0,10035200000.0,13358380000.0,17383019834.0,19031550046.92
Tunisia,1312960000.0,2266360000.0,3448360000.0,4957580000.0,7546766666.67,,
Portugal,7416725691.08,11630761400.0,17271862200.0,19757763400.0,17191323350.38,16753734115.94,19102347073.86
Mauritius,4030660000.0,7168240000.0,11258900000.0,17318860000.0,27511512200.0,32324603564.75,43328446949.25
Uganda,,,,,,2557945156363.31,4162822072190.75
Cabo Verde,,,,9724132380.43,11958853973.07,14940012190.11,21366675564.16
Norway,26570000000.0,39766000000.0,74761800000.0,117763200000.0,158288200000.0,195095250000.0,231457000000.0
Egypt,8583200000.0,14020666666.67,34199666666.67,56502624000.0,126825020000.0,200933000000.0,
Ghana,14663700.0,,514142176.5,1691362108.8,7058891832.43,15666062302.64,30396345385.74
Mali,,,96061200000.0,171447196400.0,287365200000.0,418532071500.0,579948094000.0
Sweden,39002000000.0,64396200000.0,80946000000.0,96105600000.0,113463000000.0,133877000000.0,161274000000.0
Papua New Guinea,430978000.0,644226000.0,727609333.33,,2025500000.0,2372827109.07,2856322054.74
Ecuador,,,,,8846387616.16,9904693229.42,10132458499.17
Israel,10991000000.0,26680200000.0,55041573653.83,63659167188.65,86014858841.57,106523492071.63,123163616516.08
Saint Kitts and Nevis,54310000.0,,139910400.0,193069207.36,232500000.0,258540000.0,227900000.0
Lesotho,361795040.81,729542363.15,1042558430.2,1812407336.8,3490508320.2,5409474594.61,6243142043.96
Sri Lanka,21961200000.0,46065800000.0,86675000000.0,207620200000.0,360423240000.0,588191034875.83,820625026599.09
Azerbaijan,19096600.0,57927650.0,,1457350000.0,1745580000.0,2340441000.0,3456067000.0
Togo,,,54504040066.0,68455057713.2,116346802135.2,186812798648.75,239275826484.75
Niger,,,,,,,
Kenya,,,,,438466845514.74,538299651833.69,753631858574.86
Slovakia,,2091249800.0,2613142200.0,2984242400.0,3987684000.0,4779869417.83,6507556473.98
Germany,33272140654.35,36361787404.96,38367696785.09,40393442718.98,45837315496.46,51802457395.0,61425393359.03
Colombia,,12963669623550.4,15537126434901.4,22389150500000.0,23880755646200.0,29721106691349.9,39965870579345.92
Angola,,697819994.9,74025187403.2,425436400000.0,1019039787884.48,1458171602372.72,1999140556461.43
Guinea,102321666666.67,,,,,,
Panama,,,,,1996193631.12,2737401362.96,3616927922.29
Côte d'Ivoire,,572100000000.0,523201500000.0,649980000000.0,935429800000.0,1340603932058.75,1688740500000.0
Tonga,,,,,97641389.86,125313507.17,141596054.29
