Country,1977-1980,1981-1984,1985-1988,1989-1992,1993-1996,1997-2000,2001-2004,2005-2008,2009-2012,2013-2016,2017-2020,2021-2023
Botswana,23.37,21.7,19.87,18.93,16.75,24.73,29.06,37.55,41.93,43.92,54.5,55.68
Iraq,,,,,,,,15.5,3.58,8.01,6.44,6.92
"Congo, The Democratic Republic of the",,,,,,,,19.18,22.94,20.85,21.54,30.54
Jamaica,16.45,20.92,22.9,31.88,34.48,34.96,35.71,31.03,35.74,41.02,42.36,30.85
Kenya,13.28,12.48,11.85,18.2,23.94,25.93,26.29,28.26,26.48,34.58,45.78,43.38
Dominican Republic,15.96,21.01,23.73,23.58,9.21,7.94,7.44,8.36,13.74,16.78,27.28,16.24
Cameroon,32.06,47.95,34.63,28.19,42.55,46.67,52.87,37.25,32.86,26.76,28.91,23.32
Poland,25.83,27.03,33.86,41.41,51.53,44.25,39.07,40.3,46.53,50.85,54.11,56.98
Mozambique,,,,,,,,35.62,54.15,65.22,62.2,43.08
Tajikistan,,,,,,,12.26,45.71,17.9,16.81,15.58,12.87
Thailand,12.5,13.36,13.2,17.19,30.47,36.09,29.02,30.94,35.45,37.42,38.39,39.96
Singapore,43.87,45.77,35.7,29.16,27.81,31.55,39.37,42.3,48.48,52.06,51.82,53.26
Togo,11.38,21.18,25.26,19.13,16.78,14.9,11.66,10.96,15.31,9.74,15.06,
Sudan,40.28,53.24,49.3,31.51,27.08,4.49,0.61,2.66,8.64,17.67,17.05,11.82
"Iran, Islamic Republic of",33.79,21.39,30.75,32.29,41.34,16.56,,,,,,
Guinea,,,22.61,32.44,32.01,31.95,39.61,33.07,41.43,30.72,40.42,15.36
Guinea-Bissau,,41.33,54.68,38.25,31.66,24.64,10.25,5.04,27.92,21.35,18.52,21.21
Bangladesh,15.55,13.86,10.92,8.39,8.45,6.3,7.58,13.34,7.17,9.69,15.64,14.05
Mexico,11.58,21.1,20.68,13.07,11.09,15.21,22.3,23.76,28.69,29.77,33.12,33.3
Andorra,,,,,,,,,,,52.71,49.43
Saint Lucia,5.08,27.85,16.83,16.25,28.28,32.93,37.28,42.96,44.52,49.46,52.95,52.27
Paraguay,10.91,26.14,2.16,5.76,2.84,2.48,5.91,3.58,5.81,10.24,19.38,24.27
Comoros,6.48,7.77,4.55,5.92,11.93,,6.53,5.28,5.27,14.86,16.66,12.38
Malta,6.95,8.43,7.93,10.53,15.6,20.42,25.72,43.51,56.88,59.26,67.58,75.99
Djibouti,,,,36.05,29.88,21.61,17.68,13.3,12.01,3.48,2.84,2.98
