Country,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2017,2018-2020
Madagascar,0.12,0.12,0.16,0.15,0.16,0.17,0.2,0.19
Togo,0.34,0.36,0.29,0.21,0.32,0.25,0.27,0.92
Colombia,1.91,1.9,1.52,1.4,1.69,2.02,2.59,2.22
Hungary,8.57,7.13,7.13,7.73,7.77,6.6,6.16,6.56
Germany,14.59,13.68,13.2,12.83,12.56,11.76,10.92,9.96
Singapore,24.55,27.25,26.85,27.44,30.66,39.06,29.02,26.39
Malta,9.24,9.58,11.41,10.38,11.5,16.57,18.34,19.02
Slovakia,11.22,8.69,8.72,8.26,8.98,8.59,7.41,7.3
Brunei Darussalam,15.49,15.08,10.86,11.61,16.58,20.34,18.62,22.09
Cyprus,9.15,9.31,8.92,8.78,9.44,6.86,5.95,6.04
Lithuania,11.46,6.77,5.67,6.15,7.02,7.03,7.28,7.63
Kenya,0.33,0.35,0.4,0.3,0.38,0.46,0.56,0.53
Namibia,0.61,1.02,0.98,0.96,1.34,3.95,4.88,3.75
Portugal,5.59,6.25,9.73,11.06,10.39,6.16,5.15,5.05
Sweden,10.14,9.88,9.41,9.66,9.53,8.44,7.25,6.57
Estonia,16.64,11.19,13.53,14.68,13.74,13.45,13.02,11.29
Malawi,0.16,0.19,0.13,0.07,0.07,0.07,0.06,0.13
Guinea,0.15,0.16,0.16,0.21,0.23,0.37,0.31,0.46
Romania,5.7,4.44,3.98,4.53,5.1,4.41,4.12,4.33
Slovenia,8.76,9.15,9.57,9.56,10.61,9.43,8.76,9.52
Spain,7.01,6.94,7.78,8.83,8.68,6.51,6.08,5.88
