Country,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019
Mongolia,14.3,8.75,5.3,3.1,2.65,1.35,1.5,1.5,1.4,1.3,1.2
Grenada,,38.0,30.95,24.9,22.1,19.05,17.3,15.8,15.3,14.0,14.4
Denmark,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"Congo, The Democratic Republic of the",1357.6,1133.45,903.6,791.35,418.05,115.05,29.3,29.3,28.6,26.7,16.3
Uganda,116.85,97.6,96.35,89.4,80.6,74.6,48.6,46.1,42.6,42.7,40.5
Luxembourg,,11.9,8.65,1.95,1.9,1.95,2.0,1.7,1.7,1.7,1.6
Sweden,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
Barbados,,,,,7.4,7.4,7.1,7.7,7.6,7.3,7.3
Lithuania,3.85,3.05,2.85,2.6,1.95,0.55,0.6,0.6,0.6,0.5,0.5
Haiti,386.95,280.25,264.4,227.45,300.4,255.75,235.3,219.3,200.2,200.3,179.7
Spain,16.9,16.35,15.0,15.05,4.85,4.75,4.4,4.3,4.1,4.0,3.9
Mali,195.85,196.3,109.2,83.3,88.35,77.4,71.3,61.0,58.4,56.8,55.1
Trinidad and Tobago,,1.2,0.9,0.75,0.75,0.75,0.7,0.6,0.8,0.7,0.7
Timor-Leste,154.8,106.7,10.0,5.75,3.95,1.6,0.3,0.5,0.5,0.6,0.7
Switzerland,8.9,5.75,2.4,2.35,2.35,2.3,2.3,2.3,2.3,2.3,2.3
Germany,5.9,4.9,5.65,4.75,4.75,6.8,6.9,6.7,6.8,6.5,6.5
Norway,3.2,2.6,2.2,1.85,1.75,1.25,0.9,0.9,0.9,0.9,0.8
Saudi Arabia,67.8,71.2,24.1,9.05,7.9,6.25,5.7,6.0,6.8,6.6,5.4
Albania,44.7,26.9,44.3,32.0,25.85,15.65,10.3,12.5,12.0,11.3,10.8
Austria,6.05,5.65,5.25,5.15,5.05,5.15,5.3,5.2,5.1,4.8,4.7
Qatar,,,5.7,5.85,5.45,5.1,5.1,5.8,6.3,6.7,6.3
Malta,,,,,11.8,14.95,14.1,12.3,7.4,7.1,6.7
Mexico,,,,,,18.7,18.1,17.8,17.0,16.2,15.2
North Macedonia,10.8,8.5,4.5,1.9,1.75,1.0,0.2,0.1,3.4,3.3,3.1
Sudan,102.4,74.05,54.05,43.15,36.0,26.6,14.8,30.5,27.8,20.9,17.8
