Country,1990-1995,1996-2001,2002-2007,2008-2012,2013-2017,2018-2022
"Tanzania, United Republic of",,,,8.18,8.49,15.21
"Palestine, State of",,,26.44,23.42,31.28,39.59
San Marino,2.33,,2.84,1.92,1.23,0.96
Australia,3.71,2.64,2.51,2.16,3.12,3.67
Solomon Islands,,,,21.76,18.33,22.61
Uzbekistan,,,,5.01,5.31,4.03
Saudi Arabia,,,,24.75,25.75,6.71
Lebanon,,43.91,10.6,8.42,7.11,4.32
Myanmar,23.31,12.75,4.64,15.87,10.49,8.23
Slovakia,6.38,6.61,0.76,0.0,0.0,0.0
Kyrgyzstan,,,,,16.24,16.34
Poland,10.35,5.0,2.16,,,
Switzerland,3.91,2.84,2.23,1.79,1.71,1.69
Malawi,,,,9.5,9.7,8.67
Rwanda,26.41,,,,7.64,8.12
Slovenia,16.54,6.73,2.02,,,
Tajikistan,,17.8,15.94,,,8.81
Peru,12.31,11.32,6.78,2.51,1.83,1.24
Marshall Islands,,,,26.56,23.53,21.74
Afghanistan,,,49.42,41.16,32.14,
Belize,54.63,31.64,,,,
Ireland,,,,,,
Iraq,,,,,15.84,27.84
Fiji,27.77,22.77,18.77,17.0,16.45,16.75
"Bolivia, Plurinational State of",11.44,8.28,5.41,,,
Palau,,,,22.37,24.15,27.29
