Country,1960-1965,1966-1971,1972-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017,2018-2022
Czechia,10.35,11.8,12.42,12.68,12.72,12.14,11.2,10.6,10.48,10.22,10.32,11.56
South Africa,13.55,12.53,11.18,9.78,8.73,8.08,8.46,10.38,13.0,11.27,9.24,10.05
Jamaica,8.68,8.5,8.25,7.94,7.5,6.97,7.04,6.93,6.66,6.07,6.59,7.99
Bahrain,12.92,7.72,5.15,3.87,3.42,3.2,2.87,2.62,2.31,1.93,2.04,2.24
Thailand,13.46,10.97,8.61,7.3,6.17,5.63,5.77,5.94,6.23,6.32,6.72,7.37
Singapore,5.77,5.3,5.22,5.0,4.8,4.76,4.66,4.46,4.44,4.42,4.78,5.46
Lesotho,17.05,16.07,14.34,12.25,10.45,10.09,11.42,16.11,20.33,18.77,14.87,13.48
"Venezuela, Bolivarian Republic of",9.14,7.39,5.98,5.3,4.86,4.75,4.77,5.05,5.26,5.62,6.2,7.54
Afghanistan,30.62,27.63,24.51,24.42,26.36,18.52,14.12,12.22,9.99,8.25,7.26,7.03
Eswatini,18.11,15.92,13.64,10.93,8.98,7.34,9.77,14.52,18.17,15.92,11.36,10.22
Italy,9.73,9.75,9.83,9.64,9.64,9.56,9.74,9.8,9.78,10.02,10.26,11.52
Guam,6.16,5.63,5.14,4.52,4.48,4.52,4.68,4.6,4.37,4.97,5.88,6.72
Myanmar,19.34,15.91,14.23,13.03,12.19,11.46,10.67,9.99,9.63,9.72,8.77,8.93
Armenia,11.03,8.84,8.05,7.77,7.66,9.05,7.89,8.26,8.92,9.49,9.68,11.42
Nigeria,25.73,24.98,21.52,19.19,18.81,18.71,18.74,17.54,15.92,14.63,13.75,12.95
Guyana,10.2,9.16,8.76,8.53,8.52,8.34,7.97,7.44,7.35,7.4,7.48,8.54
Turkmenistan,15.88,12.87,10.91,9.87,9.24,8.3,7.8,7.06,6.77,6.42,6.53,6.65
Cuba,8.33,7.22,6.18,6.25,6.45,6.85,7.27,7.29,7.8,8.32,9.11,10.88
Dominican Republic,15.68,12.3,10.07,8.69,7.24,6.1,5.74,6.14,5.97,5.82,5.9,6.25
Djibouti,19.69,18.07,15.88,14.15,12.66,11.89,11.32,10.79,10.0,9.19,8.6,8.74
"Virgin Islands, U.S.",9.2,7.32,5.61,5.22,5.02,4.65,5.01,5.52,6.04,6.64,7.3,8.38
