Country,1970-1978,1979-1987,1988-1996,1997-2005,2006-2014,2015-2022
Panama,141371176.5,506703810.58,397047578.1,1230248888.24,1780398747.12,7156470451.22
Algeria,603942090.73,4609064518.41,7060810171.57,4867842073.53,2233572082.18,296767420.66
Liberia,23722506.61,47770502.89,10137307.01,1509339.87,182801384.46,43735285.15
Zimbabwe,10179541.34,298890407.99,560646097.03,382875387.51,424096849.21,849047831.82
Honduras,64125511.97,248160630.46,417557095.86,434360557.6,615833940.69,1160834417.76
Kazakhstan,,,126977280.64,4550165842.93,28661638015.88,31917351389.81
Thailand,383602672.71,2445575680.67,6372633819.44,15653914799.49,16171814286.19,23560534553.16
Saint Vincent and the Grenadines,74254.39,1854001.6,6515087.0,14580530.08,33224441.44,35063812.06
Ukraine,,,587192977.2,3356741030.42,22771512487.5,16035354127.16
Dominica,,3634212.59,6883653.26,14021122.54,19815690.79,26985309.68
Rwanda,1654145.93,12473689.54,20090324.8,25443279.92,66689183.11,311472382.05
Jordan,28858758.81,399430160.38,719426034.57,866833580.07,1184787732.84,2861206426.06
Albania,,,10605914.75,48868001.87,393610238.79,845784218.58
Suriname,,,,,,439487927.04
"Congo, The Democratic Republic of the",107242706.38,385772096.84,191163057.48,170552882.0,385767155.11,473329583.48
Bosnia and Herzegovina,,,,251887867.51,872207431.23,1341782726.24
Samoa,1483288.36,5830060.76,5395410.38,5096860.52,11368515.71,29259680.46
Papua New Guinea,99398400.21,265411636.59,622128100.72,295244255.28,862396190.54,2769733877.44
Somalia,2970321.16,27564659.3,5894860.7,587787.79,527072.54,107334821.06
Gambia,795414.87,13919728.27,28900222.92,23553578.16,28858868.24,41010197.46
Armenia,,,15104452.75,86055058.53,856310577.5,1728680233.51
