Country,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022,2023-2023
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0
Libya,,,3296052000.0,2230157700.0,316181000.0,-498801000.0,189188200.0,1500.0
"Moldova, Republic of",,,,-500.0,-436659000.0,-415383400.0,669101900.0,664673400.0
Mali,2642142450.0,10769200.0,29612356350.0,28411290300.0,28298558600.0,34401689150.0,20506290700.0,0.0
Macao,,,,,,,4152500.0,-478761304.2
"Venezuela, Bolivarian Republic of",,0.0,0.0,,,,,
Paraguay,,,100.0,0.01,0.0,0.0,-0.1,0.8
Belarus,,,,,1361000000.0,409500000.0,33650000.0,-726000000.0
Timor-Leste,,,,-50.0,0.0,50.0,-50.0,
El Salvador,,,0.0,-7813386.78,-28076615.57,-32559481.48,-4050023.4,-24672187.85
Lesotho,,-500.0,-500.0,-600.0,250.0,150.0,17025400.0,
Sri Lanka,,,,-15100.0,-24400.0,-481450.0,2500000.0,-1000000.0
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,-193977329400.0,80191789050.0,-163191297850.0,-310294356150.0,-399720452150.0,-504097270300.0,-484570000000.0,-520598000000.0
Georgia,,,,,,-80650.0,283936300.0,697643100.0
Azerbaijan,-1543037350.0,-2599958300.0,,,,,,
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,0.31,-214335.33,0.09,0.0,1484454687.44,39051172565.5,5354688860.5,7173200933.0
Albania,12509910000.0,18750791900.0,22018960600.0,28284911150.0,46605953050.0,49040849300.0,33736775000.0,
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,,,,-1510218500.0,-1895215150.0,-1866878100.0,-1978964000.0,-1915894000.0
Lao People's Democratic Republic,,-139644000.0,470538500.0,-999999500.0,,,,
Kazakhstan,-603548133100.0,-758140693000.0,-956074432850.0,-1176970805100.0,-1239869860300.0,-1430337112800.0,-1534782278750.0,
Algeria,,,,,,0.0,-58658144308.82,-230088121015.83
Bahrain,0.0,-10000.0,-10000.0,38350000.0,-12440350.0,-8100.0,-9827600.0,
Brazil,0.0,6892500.0,-1052808400.0,11751613000.0,12265723100.0,12708030450.0,-28303631050.0,-1282243847700.0
Niger,-731728650.0,-821091800.0,-938155800.0,184200.0,270237950.0,14141611350.0,57509435900.0,23125861205.0
Seychelles,,,92900.0,-100.0,250.0,-50.0,-150.0,-9649100.0
Senegal,,,0.0,0.0,50.0,-50.0,2065.49,39204000000.0
