Country,2001-2003,2004-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2021,2022-2023
Mauritius,,,,,,,,140.5
Guatemala,29.13,35.56,38.27,38.07,42.52,43.41,45.8,46.12
Guyana,93.62,78.02,32.06,34.44,44.25,48.95,55.22,33.38
Belarus,,,30.82,35.17,43.0,43.08,41.73,
kos,,,13.36,21.57,29.63,40.53,55.35,58.88
Uzbekistan,,,,,,,11.82,23.57
Bahamas,55.75,60.69,74.19,81.97,80.07,76.22,,
Colombia,38.89,49.02,57.05,66.89,69.95,,,
Samoa,,,59.12,61.39,71.67,74.85,79.87,77.25
Fiji,86.44,112.32,129.0,120.58,109.63,118.07,169.02,166.97
Nicaragua,72.07,61.65,55.9,47.51,47.76,50.09,38.27,32.26
El Salvador,51.35,63.08,74.54,79.71,86.84,94.72,108.13,107.23
Uganda,,,,14.03,17.76,21.45,26.63,32.05
Angola,,,,,27.05,27.54,26.84,19.8
Türkiye,,,56.51,66.8,74.81,80.85,91.89,70.25
Papua New Guinea,,,26.56,24.55,37.69,40.72,39.27,34.46
Canada,191.49,198.88,,,,,,
Botswana,,,,,,,41.48,36.81
Honduras,35.24,38.92,50.75,52.1,56.74,62.35,72.92,80.25
Zambia,,,,21.51,27.25,30.04,37.18,31.76
Bosnia and Herzegovina,,51.78,61.08,62.88,64.48,61.15,59.16,52.11
Morocco,,,,116.24,119.85,124.72,141.67,146.61
Trinidad and Tobago,40.24,23.38,23.56,,,,,
Chile,84.52,81.28,98.11,109.0,119.06,129.97,139.33,131.3
Brunei Darussalam,,16.52,20.1,13.95,27.95,30.61,49.94,52.66
Tajikistan,,,19.65,12.02,19.68,18.42,13.16,10.08
Japan,288.7,290.5,291.15,318.36,339.14,347.65,379.83,380.06
Armenia,,,21.53,35.2,47.57,58.34,74.46,66.74
"Venezuela, Bolivarian Republic of",13.89,13.86,22.01,22.51,,,,
Comoros,5.97,6.14,8.15,,,,,
