Country,1970-1977,1978-1985,1986-1993,1994-2001,2002-2008
Azerbaijan,0.0,0.0,0.0,89062.0,0.0
ussr,0.0,5287.0,273841.25,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0
Guinea,0.0,2713.75,0.0,0.0,0.0
Trinidad and Tobago,0.0,0.0,0.0,2.12,0.0
Belgium,0.0,129.0,0.0,0.0,0.0
Martinique,0.0,0.0,0.0,0.0,14.43
Philippines,30952.75,262.12,204250.0,33924.5,10495.71
India,21.62,1399.12,2512023.25,872062.5,22586.0
Argentina,21.25,5655.0,0.0,0.0,103.86
Romania,48487.5,0.0,819.88,0.0,0.0
"Venezuela, Bolivarian Republic of",0.0,25.12,375.38,532.88,0.0
Uganda,0.0,0.0,250.0,6251.25,0.0
Yemen,0.0,0.0,5006.25,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,17.57
China,55750.0,8192.62,283506.25,1743755.75,7409387.43
"Iran, Islamic Republic of",57564.5,17229.5,100911.38,32881.12,111221.86
Kyrgyzstan,0.0,0.0,17112.5,153.75,2331.57
Indonesia,60260.88,16894.25,22984.62,87722.12,582750.0
deu_west,0.0,29.38,0.0,0.0,0.0
