Country,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2008
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadeloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Uganda,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,103.4,2.8,15.8,1901.0,0.0,22.2,5.8,0.0
Iceland,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
Malawi,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0
Costa Rica,4.2,0.0,2.4,0.0,10.2,0.0,2.0,0.0
United States,13.0,0.0,0.4,15.0,13.0,0.0,0.6,0.0
Guatemala,0.0,4600.0,4.0,1.0,2.8,0.4,1.2,0.0
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,3.4,3.4,2.0,3.0,0.0,0.5
Belgium,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Russian Federation,0.0,0.0,0.0,0.0,2.2,398.0,0.6,3.75
