Country,1971-1974,1975-1977,1978-1980,1981-1983,1984-1986,1987-1989,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007
Austria,20.75,13.3,26.56,7.88,35.3,20.24,31.5,27.72,43.12,36.12,37.84,39.69
Canada,28.88,7.33,2.54,8.75,11.14,19.76,16.88,16.1,18.28,19.32,22.53,15.42
Luxembourg,,,,,,,10.32,12.74,27.45,29.14,21.39,20.14
Ireland,,,,,31.82,28.7,37.47,25.9,28.46,28.77,20.47,17.55
Finland,21.58,16.46,4.6,4.26,5.28,5.92,4.15,7.17,8.65,13.12,17.73,8.77
United States,47.77,6.97,8.8,7.82,10.88,12.71,11.23,9.23,5.38,5.03,3.08,3.67
Netherlands,28.99,12.54,11.97,16.14,16.3,9.41,19.3,9.77,14.8,18.2,18.26,24.16
Italy,57.95,42.74,30.4,10.01,6.44,6.09,8.37,14.89,13.49,13.12,15.79,6.91
Germany,37.5,20.34,18.57,19.2,23.85,20.61,22.01,23.68,21.91,22.42,25.02,19.14
Australia,20.32,22.35,14.15,23.02,48.11,37.92,36.45,29.81,28.57,21.7,10.4,10.88
Greece,,,,,,,,57.33,39.13,8.9,21.92,24.0
United Kingdom,28.56,7.29,14.33,20.53,18.85,18.51,19.0,18.69,15.54,14.78,12.39,14.0
Japan,7.24,2.53,3.07,4.82,8.57,7.49,9.04,9.57,7.11,9.88,13.82,9.29
Spain,,,,,,,6.06,10.8,14.99,24.26,14.68,16.28
New Zealand,20.2,14.24,19.46,18.54,14.09,57.17,40.65,50.19,58.17,49.2,41.66,33.79
Denmark,58.17,8.26,10.53,6.6,5.75,3.27,8.72,8.38,7.77,5.71,9.3,5.78
France,51.7,39.01,41.59,33.88,31.33,29.92,35.4,37.21,42.1,40.2,41.61,38.13
Belgium,47.65,20.57,20.62,8.93,36.14,27.31,19.43,18.87,16.23,19.9,22.56,21.61
Norway,36.38,8.7,4.74,4.59,9.03,9.77,7.68,4.25,11.64,11.71,14.43,13.57
Portugal,,,,,,,60.1,44.93,31.82,18.69,33.78,33.09
Switzerland,30.02,11.58,15.76,12.34,11.0,14.26,13.71,11.8,7.93,7.25,6.86,6.79
Sweden,21.17,18.51,14.97,16.86,13.2,11.37,10.17,11.3,11.9,8.74,10.41,7.6
