Country,2010-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022
Syrian Arab Republic,,,,,,,,,,,,
Mozambique,19.16,,,,19.0,,19.91,,,25.05,,
Saudi Arabia,,,70.29,,,,71.4,,,80.93,,
Jamaica,56.55,,,,,,,,,,,
Serbia,90.45,73.58,90.45,91.59,93.02,93.61,93.62,78.05,95.3,79.37,79.84,80.44
Azerbaijan,97.45,97.47,97.5,97.52,97.53,97.53,97.5,97.51,97.56,,98.78,98.6
Albania,88.41,89.43,88.89,90.47,91.03,91.47,86.1,92.22,92.68,,,
Uruguay,49.92,51.2,51.85,52.61,53.04,54.05,55.21,55.53,56.49,,59.3,60.71
Aruba,63.22,,,,,,,,,,,
Tuvalu,,,,,,87.42,81.85,,58.5,,,47.55
Nicaragua,,,,33.7,,,,,,,,
Nigeria,,,,,,56.07,,52.59,55.99,,57.81,75.59
Spain,71.44,73.15,74.9,76.71,77.63,78.45,79.8,80.24,82.04,83.16,84.66,85.03
Tonga,88.39,,,,,,,92.88,,,94.06,
Comoros,,,,19.63,,,,,,,29.44,36.34
Bahrain,54.01,,,,,70.67,74.34,80.94,,83.08,,84.02
Denmark,96.99,99.76,99.47,91.46,92.51,92.57,90.36,93.86,91.43,95.24,92.39,92.49
Iceland,85.63,79.44,83.64,99.05,98.82,99.57,99.72,99.3,99.19,99.66,99.84,99.58
Mali,15.09,,,,11.8,11.09,18.68,14.35,16.04,15.49,,
Cyprus,79.92,81.7,82.67,81.11,80.66,82.56,83.55,83.77,83.5,84.82,86.4,87.76
Tajikistan,,,,,,,95.74,,,,,
United Arab Emirates,,,,,,,81.1,84.51,85.6,,86.15,87.03
