Country,2009-2010,2011-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022
"Iran, Islamic Republic of",36.73,38.49,46.54,46.79,33.2,47.93,0.0,45.29,45.96,46.02,46.63,47.29
Algeria,,17.03,,,,,,,23.4,,,
Samoa,,70.39,,,,,,,36.3,,,
Cuba,,57.68,,,,,,,54.78,,,
Guinea,,,,10.93,,17.42,,11.87,37.26,,,
Albania,,47.29,49.15,51.55,53.18,52.18,50.77,54.74,55.51,,,
Mexico,31.72,31.11,32.76,32.79,34.68,33.61,35.29,35.4,,37.49,,39.26
Sweden,76.84,78.05,75.02,75.39,75.76,76.1,76.52,82.6,77.34,83.61,82.9,83.26
Nauru,,,,,,,,,,,29.73,
Andorra,,,,48.09,47.81,47.66,,,,,,62.1
Palau,,,88.34,91.61,,,,,,85.46,,
Denmark,73.08,75.27,76.6,77.34,77.69,77.55,76.1,78.13,76.58,78.43,77.69,76.34
Cayman Islands,,,,88.56,89.66,,,,,,,
Kuwait,,31.83,25.14,,26.38,,26.66,27.14,,,,
Somalia,,,,,,,,,,,,15.98
Côte d'Ivoire,,18.87,13.68,16.23,,16.1,,,13.17,,16.38,
Belarus,87.66,,,,,,,,95.82,,,
Turkmenistan,,,,,33.57,,,,,,,
Greece,56.03,,,57.54,59.01,57.03,61.61,62.68,66.94,68.5,69.68,70.74
Lao People's Democratic Republic,23.0,,,,,,18.84,,,,,28.5
Cambodia,9.77,14.97,,15.36,15.39,18.6,16.54,,12.83,12.66,15.55,
Mauritania,,11.86,12.6,,12.6,,17.43,,8.84,,,
Marshall Islands,,72.0,,,,,,,65.49,,49.8,
Sri Lanka,28.66,30.53,30.3,30.17,31.71,60.1,61.17,61.53,61.46,63.18,63.35,63.15
Grenada,,,,,,,,40.71,43.8,46.71,,
Lesotho,,,,,,,,20.0,6.99,,,
Nigeria,,,,,,49.2,,48.28,50.64,,51.9,71.86
