Country,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009,2010-2013,2014-2017,2018-2021
North Macedonia,,,,56.96,56.7,59.96,59.36,56.33,55.59,55.88
Tunisia,33.56,36.29,35.85,35.29,35.72,35.29,35.0,61.82,85.86,85.5
Peru,16.83,52.38,52.5,50.38,38.15,64.31,67.09,68.56,72.41,88.64
Czechia,28.5,29.31,29.98,74.65,76.29,75.62,75.1,73.44,69.06,70.86
Guyana,31.04,28.09,30.5,38.88,44.06,44.35,44.42,44.87,45.83,43.96
Germany,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.74,97.74,97.9
Guinea,23.7,23.85,24.44,31.59,35.94,37.09,33.05,40.38,41.21,31.55
"Bolivia, Plurinational State of",10.85,26.79,50.0,50.17,56.93,61.44,51.79,46.18,46.37,47.53
Morocco,28.07,46.42,46.64,54.89,56.82,57.74,56.86,58.23,57.85,57.08
Serbia,39.54,40.25,39.72,42.32,43.27,70.17,77.2,72.75,59.64,50.08
Oman,0.0,0.0,0.0,4.12,17.14,35.11,35.11,37.74,38.62,38.32
Eritrea,,,,5.92,5.92,5.31,5.15,5.15,5.15,5.15
Chile,0.0,0.0,15.15,79.27,79.76,79.76,91.79,90.85,91.72,91.84
Solomon Islands,58.15,57.16,57.16,57.16,56.88,53.53,56.41,57.09,57.45,55.72
Albania,27.07,27.07,27.07,57.02,71.6,73.52,75.04,72.73,65.8,66.03
