Country,1971-1977,1978-1984,1985-1991,1992-1997,1998-2003,2004-2009,2010-2015
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,45.18,51.5,55.5,52.86,51.9,49.03,40.24
Eritrea,,,,0.0,0.0,0.0,0.0
Bulgaria,67.86,46.53,42.74,44.85,43.84,47.48,48.32
Russian Federation,,,14.32,17.47,19.16,17.42,15.35
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,1.68,1.94
Zambia,6.18,0.58,0.45,0.34,0.21,0.06,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,82.89,85.64,75.73,74.18,71.34,62.62,54.02
Panama,0.0,0.0,0.0,0.0,0.0,0.0,5.91
Mexico,0.49,1.17,6.51,9.69,10.8,11.03,11.14
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritius,0.0,0.19,8.2,3.83,18.76,34.4,40.79
