Country,1991-1993,1994-1996,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2022
Eritrea,1.59,1.67,1.75,1.84,1.93,2.0,2.03,2.06,2.06,2.04,2.02
Haiti,0.57,0.59,0.62,0.65,0.68,0.7,0.72,0.73,0.73,0.72,0.71
Benin,0.91,0.93,0.96,1.0,1.03,1.05,1.06,1.06,1.05,1.03,1.01
Mauritania,2.12,2.16,2.22,2.29,2.34,2.41,2.53,3.1,4.64,6.53,7.05
Djibouti,2.54,2.61,2.66,2.73,2.78,2.82,2.83,2.83,2.81,2.78,2.76
Guinea,2.21,2.3,2.41,2.54,2.65,2.74,2.77,2.79,2.76,2.72,2.65
French Polynesia,2.5,2.51,2.53,2.55,2.62,2.64,2.62,2.58,2.53,2.49,2.46
Albania,2.94,3.04,3.16,3.35,3.47,2.73,1.64,1.74,2.68,3.15,3.03
Central African Republic,0.92,0.95,1.0,1.05,1.11,1.15,1.2,1.21,1.18,1.18,1.17
Estonia,1.51,2.28,2.47,2.54,2.62,2.73,3.0,3.25,3.56,3.89,4.12
Chad,0.2,0.24,0.31,0.38,0.48,0.61,0.74,0.89,1.06,1.17,1.17
New Zealand,3.91,3.96,4.0,3.79,4.26,4.18,3.92,3.98,4.06,3.93,3.93
Honduras,10.49,10.63,10.84,11.11,11.48,12.82,12.35,11.95,10.37,9.95,9.95
Liberia,1.66,1.65,1.74,1.93,2.02,2.04,1.99,1.7,1.52,1.46,1.43
Gabon,0.62,0.77,1.01,1.3,1.65,2.08,2.52,2.61,2.57,2.51,2.44
Israel,3.74,3.82,3.89,3.97,4.03,4.07,4.07,3.88,3.88,3.25,3.07
Saint Lucia,9.96,9.31,6.27,5.5,5.44,5.35,5.29,5.21,5.1,4.85,6.5
Slovenia,2.97,3.57,3.7,3.66,2.69,2.01,2.82,2.29,2.6,2.59,2.95
