Country,1991-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2022
Uzbekistan,16.03,15.11,14.48,13.75,13.16,12.58,12.03,11.75
Kuwait,3.8,2.97,3.17,2.73,3.36,3.77,5.85,7.1
"Korea, Republic of",26.82,21.4,18.58,16.55,14.34,13.71,13.56,12.87
Israel,14.96,14.12,11.87,10.58,9.91,8.36,8.04,7.32
Togo,5.3,5.71,5.59,6.43,15.08,20.96,18.42,17.55
Peru,10.03,10.13,9.88,9.81,10.09,10.17,9.45,9.02
Japan,26.91,24.2,21.09,18.21,15.95,14.43,14.13,13.67
Hong Kong,24.62,16.05,10.57,7.04,4.89,4.25,4.09,4.23
Benin,15.88,16.64,17.15,17.5,17.31,19.05,23.62,25.6
Philippines,13.54,12.74,13.02,12.14,11.03,10.15,9.91,9.01
Serbia,19.85,19.24,19.0,18.36,16.86,17.0,17.24,19.18
Tonga,56.54,55.98,57.73,55.46,49.62,44.89,39.93,38.71
Armenia,8.45,7.36,6.75,6.41,6.06,5.71,5.47,5.12
Slovenia,35.83,31.59,28.39,25.34,21.99,18.21,19.18,18.37
Sao Tome and Principe,2.63,3.04,3.63,4.18,4.12,4.17,4.94,5.12
Chad,0.75,1.2,1.94,3.41,5.25,7.95,11.45,13.67
Sierra Leone,0.59,0.78,1.37,2.37,1.79,1.39,3.63,6.51
Panama,11.02,11.37,9.63,8.9,9.96,9.68,9.82,9.89
Russian Federation,25.35,23.43,22.7,21.18,18.5,17.0,15.92,15.17
