Country,1991-1995,1996-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019
Rwanda,90.82,87.08,85.64,84.64,84.07,83.34,82.68
Comoros,51.26,50.5,48.99,48.98,50.86,52.71,53.1
Viet Nam,80.33,79.54,79.55,79.26,79.88,81.26,80.92
Timor-Leste,73.95,73.77,73.6,73.31,71.08,69.81,70.09
Australia,66.49,67.2,67.4,68.81,68.94,67.33,67.1
Guam,77.72,72.9,69.24,72.83,70.54,68.72,71.26
Malta,68.66,66.95,66.1,63.58,62.23,62.87,64.63
Bulgaria,52.09,49.74,46.35,52.36,54.84,52.25,57.96
Albania,64.03,61.87,59.52,55.98,56.39,52.96,57.72
Tonga,74.63,70.83,67.34,66.99,63.96,59.98,55.45
"Moldova, Republic of",50.11,49.71,49.54,45.98,42.88,42.66,42.38
Montenegro,42.88,42.19,41.48,42.86,45.72,46.99,52.19
Dominican Republic,77.19,76.09,73.4,72.46,71.25,72.14,75.46
Fiji,76.97,75.85,75.21,75.86,76.01,74.34,74.1
Romania,70.06,68.26,61.96,57.01,58.23,59.14,61.3
Mongolia,61.01,61.81,61.65,60.04,61.29,63.24,63.7
Portugal,67.14,65.81,67.52,64.98,61.24,55.62,59.36
