Country,1991-1996,1997-2002,2003-2008,2009-2013,2014-2018,2019-2023
Ireland,48.4,57.6,61.71,53.51,56.7,60.08
Rwanda,54.5,54.61,54.09,53.77,53.5,51.73
Hungary,45.85,45.12,46.61,45.41,52.16,56.57
United Kingdom,56.29,58.19,59.17,57.62,59.78,59.9
India,50.61,52.05,50.23,49.59,48.26,48.97
Georgia,62.5,57.29,55.17,53.02,56.64,55.8
Botswana,47.75,46.62,47.73,49.77,50.37,49.64
chanisl,53.79,55.96,56.88,55.23,54.76,54.44
Lithuania,57.62,51.35,51.76,48.8,55.15,57.79
Serbia,49.87,48.09,44.07,39.89,44.8,51.81
Equatorial Guinea,53.26,52.4,51.85,51.45,51.16,49.91
Ecuador,60.66,61.7,64.05,60.32,63.62,61.88
Iceland,72.02,75.04,74.42,69.73,74.3,70.98
Finland,52.62,53.52,55.91,54.97,53.88,55.55
Libya,37.78,38.21,38.76,38.61,38.46,38.09
Angola,64.35,64.72,64.81,64.39,63.36,63.69
Benin,71.04,71.2,71.19,69.85,64.32,61.24
Vanuatu,63.87,63.65,64.22,65.95,65.73,65.67
Mauritania,41.74,41.34,40.6,39.31,37.4,36.39
Latvia,51.2,49.67,53.47,49.83,54.8,56.82
Colombia,61.15,56.67,57.55,60.27,60.4,56.04
Trinidad and Tobago,48.35,53.25,58.65,58.71,57.59,52.93
Solomon Islands,81.18,81.87,82.96,83.08,83.43,82.87
