Country,1971-1974,1975-1978,1979-1982,1983-1986,1987-1990,1991-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014
Norway,3526.61,4008.62,4409.11,4734.83,4954.19,5259.91,5438.36,5798.63,5834.76,6508.41,5891.87
Cuba,1159.26,1339.49,1495.61,1525.01,1629.31,1121.28,1054.76,1093.96,982.44,989.86,1034.66
Libya,1117.44,1588.24,2305.77,2603.78,2715.73,2641.44,3046.68,3070.24,3088.67,2958.43,2831.11
Uruguay,849.91,857.91,859.19,676.97,744.97,795.42,869.19,878.8,869.32,1162.49,1360.17
Italy,2096.92,2205.47,2282.74,2263.49,2505.01,2615.87,2835.72,3006.85,3182.23,3009.41,2632.91
Slovenia,,,,,2857.56,2726.65,3198.45,3318.11,3582.39,3636.12,3389.81
Switzerland,2786.73,2851.15,3072.58,3342.4,3458.63,3558.95,3494.68,3563.75,3545.0,3435.02,3193.05
Bosnia and Herzegovina,,,,,1561.44,941.22,581.11,972.15,1187.33,1534.8,1925.77
Antigua and Barbuda,,,,,1560.57,,,,1731.06,1780.14,
Iraq,420.32,618.44,721.24,888.16,1103.02,1377.32,1546.68,1043.26,914.4,1028.39,1339.87
Gambia,,,,,59.38,,,,66.22,75.36,
Mongolia,,,,1667.56,1712.24,1444.28,996.14,978.73,1129.75,1396.45,1745.32
Montenegro,,,,,,,,,1829.77,1885.14,1661.5
Austria,2674.31,2803.07,2983.29,2977.57,3189.6,3287.76,3527.76,3673.6,4036.39,3975.27,3872.76
Viet Nam,302.01,270.04,269.3,270.92,273.85,276.73,319.17,378.0,476.01,598.08,667.14
Japan,2767.37,2852.11,2924.24,2965.73,3298.28,3679.61,3985.06,4023.83,4037.06,3860.72,3546.64
Kenya,446.43,450.81,451.58,448.88,467.69,451.68,453.17,447.47,444.37,457.95,480.11
Botswana,,,770.61,762.4,864.27,956.5,938.77,1029.82,991.42,1013.62,1092.39
Iceland,4795.86,5367.7,6832.78,7431.51,8157.69,8088.18,8681.08,10630.99,11128.62,16258.53,17970.48
Pakistan,284.92,296.78,311.88,329.57,363.4,385.18,407.06,411.0,432.81,445.93,430.92
Türkiye,605.0,729.21,713.01,793.28,928.16,962.22,1112.45,1125.98,1229.91,1407.59,1553.07
Philippines,407.75,439.77,456.45,440.35,451.36,461.68,496.05,494.54,454.21,427.18,445.79
United Kingdom,3774.18,3633.4,3548.78,3474.29,3621.36,3709.6,3789.15,3760.16,3677.81,3294.96,2945.01
Costa Rica,444.9,503.01,500.77,452.08,504.69,648.0,643.1,711.71,884.91,1009.68,1004.3
Cyprus,1045.36,1028.97,1242.88,1302.23,1623.76,1998.83,2081.14,2189.86,2200.53,2267.68,1830.99
Belgium,4478.04,4589.06,4585.95,4399.79,4776.86,5033.78,5482.69,5576.75,5552.28,5381.92,4910.87
North Macedonia,,,,,1211.83,1291.66,1381.52,1294.33,1384.98,1432.53,1382.54
Indonesia,302.87,335.38,379.81,400.82,467.45,589.22,669.55,723.04,776.01,817.89,853.24
Bangladesh,86.77,93.04,99.52,103.65,112.72,120.95,136.35,146.2,162.26,189.71,219.12
