Country,1970-1974,1975-1978,1979-1981,1982-1984,1985-1987,1988-1990,1991-1993,1994-1996,1997-1999,2000-2002,2003-2005,2006-2008
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,18.67,0.0,4.67,265.67,7.67,0.0
Indonesia,0.0,52.5,0.0,88.0,19.67,16.67,98.0,39.0,567.33,14.0,248.33,134.33
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,17.33,5.33,0.0,0.0,0.0,0.0
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bolivia, Plurinational State of",0.0,0.0,0.0,0.0,0.0,22.33,109.67,0.0,18.67,0.0,0.0,0.33
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,87.67,4.33,66.67,2.0,0.0,18.67
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0
United States,0.0,0.0,0.0,0.0,0.0,1.0,33.33,0.0,0.0,71.33,0.0,0.0
Sao Tome and Principe,0.0,0.0,0.0,0.0,50.0,10.33,0.0,0.0,0.0,0.0,0.0,0.0
Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0
Brazil,375.0,0.0,0.0,100.0,0.0,0.0,65.33,0.67,5.33,19.0,0.0,41.0
Jordan,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,13.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
